donor,ps1,selection
euts,1,selected
fawm,1,selected
feec,0.99972463341111,selected
fikt,1,selected
garx,1,selected
gesg,0.356627213242259,undetermined
heja,0.470392719175827,undetermined
hipn,0.318084731720143,undetermined
ieki,0.99364137535273,selected
joxm,1,selected
kuco,0.178945932169221,neutral
laey,0.66524883622197,undetermined
lexy,0.244001330518429,neutral
naju,0.68429455912223,undetermined
nusw,0.311542694753745,undetermined
oaaz,0.242730022484641,neutral
oilg,0.982595054735537,selected
pipw,1,selected
puie,1,selected
qayj,0.71567840223784,selected
qolg,1,selected
qonc,0.414490750550048,undetermined
rozh,0.998896569994569,selected
sehl,0.250599940926227,neutral
ualf,0.870904195108042,selected
vass,0.999612714657749,selected
vils,0.75859536989389,selected
vuna,0.314002599387038,undetermined
wahn,0.98410934749699,selected
wetu,0.258361225510773,neutral
xugn,0.170537020093592,neutral
zoxy,0.327354615113049,undetermined
