"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
159.0,162.45234941602604,103.59595881916033,235.4479027821074,138.16252681721744,183.0,0.005,0
206.0,210.99813937339601,142.07682695649885,288.4827462179838,184.0,238.0,0.015,0
119.0,119.6197449027517,75.576343156841,168.56412449327158,104.0,133.2068776764117,0.025,0
66.0,66.92693594226525,42.0,95.0,57.0,76.0,0.035,0
38.0,38.93188159880174,20.622093690736072,58.0,32.96178316601899,45.1399845733256,0.045,0
22.0,22.595842992922954,11.0,36.0,18.0,27.0,0.055,0
14.0,14.018919330336113,5.0,23.0,11.0,17.0,0.065,0
8.0,8.987817893315933,3.0,17.62466985766525,6.0,11.0,0.075,1
7.0,6.448168972782795,1.0,12.0,4.0,8.0,0.085,0
5.0,4.705777838495016,0.0,11.0,3.0,6.0,0.095,0
3.0,3.702688804818722,0.0,9.0,2.0,5.0,0.105,0
3.0,2.8549156295700904,0.0,7.0,1.0,4.0,0.115,0
2.0,2.1567365227154762,0.0,6.0,1.0,3.0,0.125,0
2.0,2.069327637182791,0.0,6.0,1.0,3.0,0.135,0
2.0,1.8251327575122884,0.0,5.0,1.0,3.0,0.145,0
1.0,1.7079119575072612,0.0,5.0,1.0,3.0,0.155,0
1.0,1.5595713731325132,0.0,5.0,0.0,2.0,0.165,0
1.0,1.6712012085176398,0.0,5.0,1.0,2.0,0.175,2
1.0,1.683979057291058,0.0,5.0,1.0,2.0,0.185,0
1.0,1.6195730243070274,0.0,5.0,0.0,2.0,0.195,0
2.0,1.7878326364666575,0.0,5.0,1.0,3.0,0.205,0
2.0,2.0451497036006074,0.0,5.0,1.0,3.0,0.215,0
2.0,2.396847806357596,0.0,7.0,1.0,3.0,0.225,5
4.0,3.8710822100548397,0.0,9.0,2.0,5.0,0.235,5
5.0,5.616956476886635,1.0,12.0,3.0,8.0,0.245,7
8.0,8.370090315816437,2.0,17.0,6.0,11.0,0.255,16
12.0,12.154773101454456,4.0,22.0,9.0,15.0,0.265,8
15.0,15.338475192791316,7.0,24.781601809003163,12.0,18.0,0.275,12
19.0,18.746516316338354,10.0,28.0,16.0,22.0,0.285,22
21.0,21.02076940113502,13.0,31.0,18.0,24.0,0.295,31
21.0,21.485693982637592,12.0,32.0,18.0,24.338623832610587,0.305,21
20.0,20.03805834190645,11.0,31.0,17.0,23.0,0.315,23
17.0,17.20051700533891,9.0,27.0,14.0,20.0,0.325,31
13.0,13.021164054199978,6.0,22.530189351388138,10.0,16.0,0.335,21
10.0,10.253344422922074,4.0,19.0,7.0,12.0,0.345,10
7.0,7.466200721836457,2.0,14.0,5.0,10.0,0.355,7
5.0,5.792705378295916,1.0,12.0,4.0,8.0,0.365,4
4.0,4.3319769166781885,1.0,9.0,3.0,6.0,0.375,1
3.0,3.086663119695341,0.0,7.0,2.0,4.0,0.385,2
2.0,2.549952323065334,0.0,7.0,1.0,4.0,0.395,0
2.0,2.627148880020599,0.0,7.0,1.0,4.0,0.405,0
2.0,2.346949119283013,0.0,6.0,1.0,3.0,0.415,0
3.0,2.8993274765899355,0.0,7.0,1.0,4.0,0.425,0
4.0,4.102809119527778,0.0,10.0,2.0,6.0,0.435,0
6.0,7.245448052159143,1.0,22.0,3.0,10.0,0.445,0
11.0,13.705181278526105,1.0,40.25368398083918,6.0,20.0,0.455,0
20.0,24.703427120856254,1.0,83.8248537485235,9.0,35.0,0.465,0
33.0,41.7663890957241,2.2562054789389796,127.91897921481039,15.0,61.0,0.475,0
51.0,67.22270592676055,2.0,194.21266529118873,20.0,101.0,0.485,0
73.0,96.54029830335048,2.0,301.2996952645023,25.0,147.0,0.495,0
97.0,131.61855993601156,2.0,392.7804047987198,33.0,209.48798565445065,0.505,0
117.0,163.5902800908706,4.0,496.0244384921017,35.37816406514489,269.0,0.515,0
130.0,184.66473854009556,1.0,573.1689662706169,31.323458739587316,305.40720483224567,0.525,0
130.0,186.66546147469222,0.0,589.253171457145,26.0,315.26686228081246,0.535,0
111.0,176.32613578606058,0.0,588.5147252413144,22.0,292.52649733703254,0.545,0
94.0,152.03088356180695,0.0,547.4126793150128,14.444744790512026,249.41905546285628,0.555,0
64.0,117.85346048664817,0.0,427.43942422914876,11.0,193.0,0.565,0
42.0,82.34198261770763,0.0,330.1436700753951,6.0,129.0,0.575,0
22.0,52.15182603922617,0.0,224.50022784471292,3.0,89.0,0.585,0
12.0,30.697420319948943,0.0,133.346116774615,2.0,47.0,0.595,0
6.0,15.535560800769083,0.0,70.75934848388907,1.0,25.381995710103116,0.605,0
3.0,7.7379736787381255,0.0,35.41774031602173,0.0,12.0,0.615,0
1.0,3.288230188190013,0.0,16.18941442819989,0.0,5.0,0.625,0
0.0,1.235999409236473,0.0,8.0,0.0,2.0,0.635,0
0.0,0.4755035787555733,0.0,3.0,0.0,1.0,0.645,0
0.0,0.14406073619874044,0.0,1.0,0.0,0.0,0.655,0
0.0,0.05618517228065133,0.0,1.0,0.0,0.0,0.665,0
0.0,0.008944382450171696,0.0,0.0,0.0,0.0,0.675,0
0.0,0.002741572970012377,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
0.0,0.0,0.0,0.0,0.0,0.0,0.805,0
0.0,0.0,0.0,0.0,0.0,0.0,0.815,0
0.0,0.0,0.0,0.0,0.0,0.0,0.825,0
0.0,0.0,0.0,0.0,0.0,0.0,0.835,0
0.0,0.0,0.0,0.0,0.0,0.0,0.845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.855,0
0.0,0.0,0.0,0.0,0.0,0.0,0.865,0
0.0,0.0,0.0,0.0,0.0,0.0,0.875,0
0.0,0.0,0.0,0.0,0.0,0.0,0.885,0
0.0,0.0,0.0,0.0,0.0,0.0,0.895,0
0.0,0.0,0.0,0.0,0.0,0.0,0.905,0
0.0,0.0,0.0,0.0,0.0,0.0,0.915,0
0.0,0.0,0.0,0.0,0.0,0.0,0.925,0
0.0,0.0,0.0,0.0,0.0,0.0,0.935,0
0.0,0.0,0.0,0.0,0.0,0.0,0.945,0
0.0,0.0,0.0,0.0,0.0,0.0,0.955,0
0.0,0.0,0.0,0.0,0.0,0.0,0.965,0
0.0,0.0,0.0,0.0,0.0,0.0,0.975,0
0.0,0.0,0.0,0.0,0.0,0.0,0.985,0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0
