"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
93.0,96.9243317813174,56.32026169774752,150.0,81.0,109.0,0.005,0
122.0,124.09056531725601,78.38070528678725,182.00434146252815,105.0,139.0,0.015,0
69.0,70.38554461353002,44.0,107.0,58.0,81.0,0.025,0
39.0,39.5365547146287,22.0,62.60577505731929,31.0,46.0,0.035,0
23.0,23.202658298247286,11.486540451888446,39.37062211941936,18.0,27.0,0.045,0
13.0,13.41097037121397,5.0,24.0,10.0,16.0,0.055,0
9.0,8.736402271266439,3.0,15.0,6.0,11.0,0.065,0
6.0,6.2630943292394905,2.0,12.0,4.0,8.0,0.075,0
5.0,5.486300400252463,1.0,11.0,4.0,7.0,0.085,0
5.0,4.743590636539177,1.0,10.0,3.0,6.0,0.095,4
4.0,4.47969000890258,1.0,10.0,3.0,6.0,0.105,11
4.0,4.3342191523304345,1.0,10.0,2.0,6.0,0.115,6
4.0,3.877663531997193,1.0,9.0,2.0,5.0,0.125,3
4.0,3.629857972478108,0.0,8.0,2.0,5.0,0.135,8
3.0,3.620845833737935,0.0,8.0,2.0,5.0,0.145,13
3.0,2.938154119619652,0.0,7.0,2.0,4.0,0.155,2
2.0,2.713553597581496,0.0,7.0,1.0,4.0,0.165,2
2.0,2.43931524276061,0.0,6.0,1.0,4.0,0.175,2
2.0,2.1867204460916514,0.0,6.0,1.0,3.0,0.185,0
2.0,2.3439931085902947,0.0,6.599972277938609,1.0,3.0,0.195,5
3.0,2.725722522549409,0.0,7.249967156081547,1.0,4.0,0.205,1
3.0,3.6250506063833603,0.0,8.0,2.0,5.0,0.215,1
4.0,4.611480904933642,1.0,11.0,3.0,6.0,0.225,4
6.0,6.2848796309374,1.0,12.0,4.0,8.0,0.235,6
8.0,7.516809221472356,2.0,13.0,5.0,10.0,0.245,9
8.0,8.341404995517646,3.0,14.836219823708657,6.0,10.0,0.255,4
9.0,8.963917644518588,3.557482952094799,16.0,7.0,11.0,0.265,6
9.0,8.700576583153843,4.0,15.0,7.0,11.0,0.275,12
8.0,8.048848517414331,3.0,14.0,6.0,10.0,0.285,10
7.0,6.767095550297065,2.0,12.927909778227505,5.0,9.0,0.295,11
5.0,5.508718091609067,1.0,11.0,4.0,7.0,0.305,10
4.0,4.142299015193151,1.0,9.0,3.0,5.827462613933274,0.315,3
3.0,2.998024546780294,0.0,7.0,2.0,4.0,0.325,2
2.0,2.0067914952793138,0.0,6.0,1.0,3.0,0.335,2
1.0,1.601493180605358,0.0,5.0,0.0,2.0,0.345,0
1.0,1.098873111836335,0.0,4.0,0.0,2.0,0.355,0
1.0,0.8791822785903731,0.0,3.2979343237222043,0.0,1.0,0.365,0
0.0,0.6351663281740344,0.0,3.0,0.0,1.0,0.375,0
0.0,0.39300296601564183,0.0,2.1091467401398245,0.0,1.0,0.385,0
0.0,0.35883344257722455,0.0,3.0,0.0,0.0,0.395,3
0.0,0.26284135239345485,0.0,2.0,0.0,0.0,0.405,0
0.0,0.39317043126532925,0.0,2.0,0.0,1.0,0.415,0
0.0,0.6325405233024293,0.0,3.0,0.0,1.0,0.425,0
1.0,1.3343387573635743,0.0,4.0,0.0,2.0,0.435,0
3.0,3.730521855165396,0.0,12.0,1.0,6.0,0.445,0
8.0,8.414761219201623,0.0,23.24308021011698,3.0,12.0,0.455,1
15.0,17.475092776349133,0.0,47.01906692933801,6.0,26.0,0.465,0
26.0,32.03790347849011,1.0,86.52361365650539,12.0,48.0,0.475,0
46.0,56.33728968415385,1.416188469618678,160.26466359880152,20.0,84.0,0.485,0
67.0,86.78254719554137,2.0,238.5644494616058,30.0,137.30889505778558,0.495,0
96.0,125.19768840749201,2.0,355.3016500155036,39.0,201.56824936590684,0.505,0
124.0,162.9348883155753,3.5969072594540217,459.00668799367725,44.0,267.08211233142794,0.515,0
137.0,190.43394511081436,3.783094938732014,541.0640525714621,45.0,314.0,0.525,0
141.0,202.62369603845832,4.338256774270674,573.3940854365112,49.0,334.74728166325576,0.535,0
135.0,200.77126733643243,4.0,578.4205455424843,42.0,344.14889503002587,0.545,0
110.0,178.93422477040562,3.0,533.4755707845807,32.0,304.04789857611735,0.555,0
89.0,144.5286816486276,1.0,444.34756127210665,22.0,246.1157131059658,0.565,0
58.0,103.61059501068907,0.0,333.56107455951474,15.0,179.0430537257971,0.575,0
36.0,67.63530130365467,0.0,225.12966461503999,9.0,113.0,0.585,0
21.0,39.93601598942898,0.0,141.7950430638269,4.184198622208486,69.0,0.595,0
12.0,21.75559098965736,0.0,75.17521336047841,2.0,38.0,0.605,0
5.0,10.723423041653662,0.0,42.0,1.0,18.0,0.615,0
2.0,4.6781183064900596,0.0,20.0,0.0,7.534407011030588,0.625,0
1.0,1.7693268221342529,0.0,8.0,0.0,3.0,0.635,0
0.0,0.7129269843355638,0.0,4.0,0.0,1.0,0.645,0
0.0,0.20834474615586512,0.0,2.0,0.0,0.0,0.655,0
0.0,0.0970839601653396,0.0,1.0,0.0,0.0,0.665,0
0.0,0.024372963062960898,0.0,0.0,0.0,0.0,0.675,0
0.0,0.008321717888097898,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
