"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
86.0,87.82865881614975,50.185088413689954,128.11723051020596,74.0,101.0,0.005,0
111.0,112.55566103229201,70.0,176.0,96.0,129.0,0.015,0
63.0,63.41284530582441,35.0,96.29304772963707,52.0,74.0,0.025,12
35.0,36.39855921834354,18.984601484270552,58.0,28.618254562588344,43.0,0.035,2
21.0,21.82295790776174,10.0,39.38741844147078,16.478578799335722,26.0,0.045,5
13.0,13.387868079752687,5.0,23.0,10.0,17.0,0.055,5
9.0,9.13136386561924,3.0,17.0,7.0,11.0,0.065,7
6.0,6.105686337155897,1.0,12.0,4.0,8.0,0.075,5
5.0,4.8504534044188095,1.0,10.0,3.0,6.0,0.085,1
4.0,3.875654353621759,0.0,8.0,2.0,5.0,0.095,2
3.0,3.50195395955179,0.0,8.0,2.0,5.0,0.105,0
3.0,3.7972865843173085,0.0,9.0,2.0,5.0,0.115,0
4.0,4.488306533622992,0.5806285870146844,9.334763769618572,3.0,6.0,0.125,0
6.0,6.345300989548577,2.0,13.0,4.0,8.0,0.135,2
9.0,8.96709219849545,3.0,16.0,7.0,11.0,0.145,13
11.0,11.460340936932912,5.0,18.828027142997357,9.0,14.0,0.155,17
13.0,12.77673384079978,6.0,19.0,10.0,15.0,0.165,17
12.0,12.619683211898314,7.0,20.0,10.0,15.0,0.175,25
11.0,11.372875550192589,6.0,18.0,9.0,13.0,0.185,14
9.0,9.340590772515878,4.0,15.0,7.0,12.0,0.195,10
7.0,6.786647403075553,2.0,13.0,5.0,9.0,0.205,6
4.0,4.62954966534535,1.0,10.0,3.0,6.0,0.215,6
3.0,3.216672687670804,0.0,7.0,2.0,4.0,0.225,0
2.0,2.1827711971346,0.0,6.0,1.0,3.0,0.235,0
1.0,1.671076397799907,0.0,5.0,1.0,2.0,0.245,2
1.0,1.1047170825349004,0.0,4.0,0.0,2.0,0.255,0
1.0,0.9638271543717069,0.0,3.0,0.0,2.0,0.265,0
0.0,0.8088392957674099,0.0,4.0,0.0,1.0,0.275,0
0.0,0.6268551555060086,0.0,3.0,0.0,1.0,0.285,0
0.0,0.5145248208199015,0.0,2.0,0.0,1.0,0.295,0
0.0,0.47867430896237845,0.0,2.0,0.0,1.0,0.305,0
0.0,0.41122657165533094,0.0,2.0,0.0,1.0,0.315,0
0.0,0.3684593404512863,0.0,2.0,0.0,1.0,0.325,0
0.0,0.2712806413915584,0.0,2.0,0.0,0.0,0.335,0
0.0,0.24176864357243716,0.0,2.0,0.0,0.0,0.345,0
0.0,0.2010639063877492,0.0,2.0,0.0,0.0,0.355,0
0.0,0.1799535925076177,0.0,2.0,0.0,0.0,0.365,2
0.0,0.18937171103283892,0.0,2.0,0.0,0.0,0.375,0
0.0,0.16011065142644135,0.0,1.0,0.0,0.0,0.385,0
0.0,0.1921666320441409,0.0,2.0,0.0,0.0,0.395,0
0.0,0.1538529714685444,0.0,1.490828084918134,0.0,0.0,0.405,0
0.0,0.31143407389446426,0.0,2.0,0.0,1.0,0.415,0
0.0,0.5498207307852285,0.0,3.0,0.0,1.0,0.425,0
1.0,1.1232306533577094,0.0,4.0,0.0,2.0,0.435,0
2.0,3.0846034350776064,0.0,10.0,1.0,5.0,0.445,0
6.0,7.484902136070129,0.0,23.0,3.0,10.0,0.455,0
12.0,14.572790421388769,0.0,48.0,5.0,21.0,0.465,0
20.0,26.55504732068459,1.0,79.60381765434383,8.0,40.0,0.475,0
36.0,46.358191212434775,1.0,141.85244852104532,15.0,68.0,0.485,0
52.0,70.40992151283035,1.0,217.83898315368958,19.0,102.0,0.495,1
68.0,101.39460136179827,2.0,313.9203366229993,26.0,155.0,0.505,0
88.0,134.08760844130347,2.0,436.7614503379108,31.420820434996763,207.22761044078348,0.515,0
