"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
88.0,90.08372885923377,55.0,136.8036634862875,75.0,102.0,0.005,0
113.0,115.63898172221398,77.0,172.0,97.0,129.0,0.015,0
65.0,65.69463438326794,41.0,97.0,55.0,76.0,0.025,0
36.0,37.06936888893363,21.0,59.0,30.0,43.0,0.035,1
21.0,21.641737968064913,11.0,37.0,17.0,25.03741199925718,0.045,1
13.0,13.18717854890479,6.0,22.0,10.0,16.0,0.055,0
8.0,8.573230757152979,3.0,17.0,6.0,11.0,0.065,0
6.0,5.893608897306057,1.0,11.0,4.0,8.0,0.075,0
4.0,4.1193494573152805,1.0,9.0,2.0,5.0,0.085,0
3.0,3.253355884226042,0.0,8.0,2.0,4.0,0.095,0
2.0,2.7094217602006037,0.0,7.0,1.0,4.0,0.105,0
2.0,2.3688190382379704,0.0,6.0,1.0,3.0,0.115,0
2.0,1.9194352621232966,0.0,5.0,1.0,3.0,0.125,0
2.0,1.9660975707993118,0.0,5.0,1.0,3.0,0.135,0
2.0,1.791274681863567,0.0,6.0,1.0,3.0,0.145,0
2.0,2.0266557465388386,0.0,6.0,1.0,3.0,0.155,1
2.0,2.523391120866399,0.0,7.0,1.0,4.0,0.165,1
3.0,3.2644424686337,0.0,9.0,2.0,4.0,0.175,4
4.0,4.979939223125935,0.0,12.0,3.0,6.0,0.185,4
6.0,6.746910909239051,2.0,14.0,5.0,9.0,0.195,11
9.0,9.159571072523006,3.0,16.0,7.0,11.0,0.205,10
11.0,10.888258316684313,4.0,18.0,8.0,13.0,0.215,18
11.0,11.465424003641752,6.0,18.0,9.0,13.0,0.225,20
11.0,11.43493152563885,5.795893253803956,18.330287109091646,9.0,13.0,0.235,10
10.0,10.158045712431905,4.0,18.0,8.0,12.0,0.245,10
8.0,8.234369010658625,2.0,16.0,6.0,10.109679944501131,0.255,8
6.0,6.397699417536019,2.0,13.0,4.0,8.0,0.265,11
5.0,4.739942429333498,1.0,10.0,3.0,6.0,0.275,7
3.0,3.62027302933537,0.0,8.0,2.0,5.0,0.285,3
2.0,2.379166574268537,0.0,6.0,1.0,3.0,0.295,2
2.0,1.6933549606569374,0.0,5.0,1.0,3.0,0.305,2
1.0,1.4621580485463064,0.0,4.700886611687199,0.0,2.0,0.315,0
1.0,1.134993947494842,0.0,4.0,0.0,2.0,0.325,0
1.0,0.765632491365135,0.0,3.0,0.0,1.0,0.335,0
0.0,0.6345594135598281,0.0,3.0,0.0,1.0,0.345,0
0.0,0.5402015675276225,0.0,2.0,0.0,1.0,0.355,0
0.0,0.49826970864489845,0.0,3.0,0.0,1.0,0.365,0
0.0,0.3615491424235964,0.0,2.0,0.0,1.0,0.375,0
0.0,0.4333835064720711,0.0,3.0,0.0,1.0,0.385,0
0.0,0.3432729578112423,0.0,2.0,0.0,1.0,0.395,0
0.0,0.38225992016603516,0.0,2.0,0.0,1.0,0.405,0
0.0,0.5666129231995404,0.0,3.0,0.0,1.0,0.415,0
1.0,0.8369592708934479,0.0,3.0,0.0,1.0,0.425,0
1.0,1.6918392441154502,0.0,6.0,0.0,3.0,0.435,1
4.0,4.329840450416021,0.0,13.0,1.0,6.0,0.445,0
7.0,9.094665719929068,0.0,30.0,3.0,13.0,0.455,0
14.0,18.486876109780223,0.0,61.0,6.0,27.0,0.465,0
28.0,33.99324439150433,0.0,94.5712450365204,10.0,52.0,0.475,0
47.0,57.076211260317734,1.0,173.0,15.0,90.89000766623631,0.485,1
70.0,87.93574849413645,1.0,264.3630303367257,21.0,142.0,0.495,0
103.0,123.68267611177846,1.0,350.0940019386232,28.432448702357416,201.0,0.505,1
125.0,160.4331466416402,1.0,452.5808023107619,33.99716843037263,267.15919787105304,0.515,0
140.0,187.29504639410618,1.0,526.0,37.38685575983819,309.0,0.525,0
136.0,195.60630979564488,1.0,570.0,33.0,332.8036800751944,0.535,1
128.0,190.8405018384203,1.0,596.4577164750759,29.0,318.36746584339045,0.545,0
110.0,168.16113868727803,0.0,560.4376463268649,23.0,275.0,0.555,0
84.0,134.32855517895914,0.0,482.15364287783655,18.0,223.64098505024455,0.565,0
57.0,95.8056345413432,0.0,351.4511057808757,11.0,160.0,0.575,0
33.0,62.39680317659264,0.0,233.16067481460294,5.0,103.0,0.585,0
19.0,37.035617514321295,0.0,144.1879771334912,3.0,59.0,0.595,0
9.0,19.509850460527357,0.0,82.50623441009017,1.0,30.0,0.605,0
