"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
270.0,273.0585651697255,179.0,383.16035162675644,237.01549299310403,307.0,0.005,0
348.0,352.55483083923025,239.74124393011354,491.53964026179534,308.0,394.0,0.015,0
196.0,199.08895722170044,135.67757610837748,275.0,175.0,222.0,0.025,3
109.0,110.39154418132857,66.0,167.40126946280347,94.0,124.0,0.035,3
62.0,63.11317593300883,36.0,94.0,51.0,74.0,0.045,0
36.0,37.13012532024328,20.388244621076332,57.0,31.0,44.0,0.055,0
23.0,22.9522682573836,10.0,36.0,19.0,27.0,0.065,0
14.0,14.273122335097083,6.0,24.0,11.0,18.0,0.075,0
10.0,9.967803910822028,3.0,19.0,7.0,12.0,0.085,0
7.0,7.096639826118052,2.0,14.0,5.0,9.0,0.095,0
5.0,5.643944245823183,1.0,13.0,3.0,8.0,0.105,0
4.0,4.524592817381125,0.0,11.0,2.0,6.0,0.115,0
3.0,3.689571277956619,0.0,10.0,2.0,5.0,0.125,2
3.0,3.444354729886259,0.0,9.0,2.0,5.0,0.135,0
3.0,3.0021627280883414,0.0,8.0,1.0,4.0,0.145,0
2.0,2.853346855473983,0.0,8.0,1.0,4.0,0.155,2
2.0,2.5873489288331086,0.0,7.0,1.0,4.0,0.165,3
2.0,2.495670523928006,0.0,7.0,1.0,4.0,0.175,0
2.0,2.662143927218659,0.0,8.0,1.0,4.0,0.185,0
2.0,2.553532988197176,0.0,7.0,1.0,4.0,0.195,0
2.0,2.4990810736854883,0.0,8.0,1.0,4.0,0.205,0
2.0,2.4786752825503946,0.0,7.0,1.0,4.0,0.215,3
2.0,2.537588966869716,0.0,7.0,1.0,4.0,0.225,4
2.0,2.7422458036557287,0.0,8.0,1.0,4.0,0.235,0
3.0,2.9476170790352367,0.0,8.0,1.0,4.0,0.245,0
4.0,3.805479175615119,0.0,9.0,2.0,5.0,0.255,6
4.0,4.433073612264857,1.0,10.0,3.0,6.0,0.265,8
6.0,6.090570344989404,1.0,12.553868494153043,4.0,8.0,0.275,4
9.0,9.298040442837685,3.0,18.24521940497498,7.0,11.0,0.285,12
13.0,13.433316403544863,4.0,24.0,10.0,17.0,0.295,7
19.0,19.110196738079285,9.0,30.0,15.0,23.0,0.305,21
26.0,25.71342773839731,14.0,40.0,21.0,30.0,0.315,31
32.0,31.635037431410677,19.0,45.0,27.0,36.0,0.325,32
33.0,33.67897746250045,23.0,46.0611682429976,30.0,37.0,0.335,45
35.0,35.6860876642332,25.0,48.0,32.0,40.0,0.345,43
33.0,33.498369136818575,22.0,47.0,29.0,38.0,0.355,35
30.0,30.950089565051965,18.0,47.23021208159998,26.0,36.0,0.365,55
24.0,24.554687052455815,13.0,38.09136805000043,20.0,29.0,0.375,22
19.0,19.05000741282838,9.0,31.0,15.0,22.0,0.385,15
15.0,14.90276469712516,6.0,24.918350584791487,12.0,18.0,0.395,15
12.0,11.719658025187458,5.0,20.0,9.0,14.0,0.405,18
10.0,9.927335345084405,4.0,17.0,7.0,12.0,0.415,4
10.0,10.150148497026171,4.0,18.0,7.0,13.0,0.425,7
11.0,12.791946374208182,4.0,28.0,8.0,17.0,0.435,2
16.0,19.3894902367048,4.0,48.0,10.0,27.0,0.445,3
25.0,31.12083528147296,4.0,87.0,13.0,44.18428281278678,0.455,3
43.0,52.171441731526954,6.0,143.0,23.0,76.0,0.465,2
68.0,79.82105603473734,6.0,218.6238718539282,34.0,113.0,0.475,0
103.0,116.26717483097221,8.0,314.1985672454456,48.0,169.77913921401378,0.485,0
134.0,152.35070052306995,8.0,397.71527608062183,60.0,222.1347207253325,0.495,0
172.0,190.60007089821275,6.039756040449529,484.89634263346005,71.0,283.0,0.505,0
196.0,216.61671763139518,6.0,542.8423734849715,72.0,343.0,0.515,0
188.0,223.91374942593075,4.0,555.0397242509656,70.0,361.0106662676856,0.525,0
171.0,211.40892712885125,3.0,548.6147921050336,57.32852132061695,340.70979270734784,0.535,0
149.0,183.9371524219117,2.0,528.0,45.0,298.0,0.545,0
107.0,146.609102446901,1.0,447.88393912092016,31.0,229.41191287752892,0.555,0
75.0,107.59481011638154,0.0,366.9126537098522,19.0,166.4065973418428,0.565,0
45.0,70.54306982375346,0.0,264.48734219490075,12.0,105.0,0.575,0
24.0,42.81483557641553,0.0,182.47067314768398,5.95086492920899,64.0,0.585,0
12.0,23.737730497690144,0.0,102.40202162221426,2.0,34.0,0.595,0
5.0,11.757032623414867,0.0,54.9065594673694,1.0,15.0,0.605,0
2.0,5.450832660240393,0.0,31.0,0.0,7.0,0.615,0
1.0,2.050711871206213,0.0,12.660490755285355,0.0,3.0,0.625,0
0.0,0.9252510480486333,0.0,6.0,0.0,1.0,0.635,0
0.0,0.28680449635018734,0.0,2.0,0.0,0.0,0.645,0
0.0,0.10348696728975788,0.0,1.0,0.0,0.0,0.655,0
0.0,0.02576614389903366,0.0,0.0,0.0,0.0,0.665,0
0.0,0.013347813491755551,0.0,0.0,0.0,0.0,0.675,0
0.0,0.0,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
0.0,0.0,0.0,0.0,0.0,0.0,0.805,0
0.0,0.0,0.0,0.0,0.0,0.0,0.815,0
0.0,0.0,0.0,0.0,0.0,0.0,0.825,0
0.0,0.0,0.0,0.0,0.0,0.0,0.835,0
0.0,0.0,0.0,0.0,0.0,0.0,0.845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.855,0
0.0,0.0,0.0,0.0,0.0,0.0,0.865,0
0.0,0.0,0.0,0.0,0.0,0.0,0.875,0
0.0,0.0,0.0,0.0,0.0,0.0,0.885,0
0.0,0.0,0.0,0.0,0.0,0.0,0.895,0
0.0,0.0,0.0,0.0,0.0,0.0,0.905,0
0.0,0.0,0.0,0.0,0.0,0.0,0.915,0
0.0,0.0,0.0,0.0,0.0,0.0,0.925,0
0.0,0.0,0.0,0.0,0.0,0.0,0.935,0
0.0,0.0,0.0,0.0,0.0,0.0,0.945,0
0.0,0.0,0.0,0.0,0.0,0.0,0.955,0
0.0,0.0,0.0,0.0,0.0,0.0,0.965,0
0.0,0.0,0.0,0.0,0.0,0.0,0.975,0
0.0,0.0,0.0,0.0,0.0,0.0,0.985,0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0
