"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
119.0,118.39042770095259,71.2460436719526,180.7969872870173,99.0,135.7799916739436,0.005,0
148.0,150.1427440078929,100.00701805967195,225.41365875455847,125.0,170.0,0.015,0
85.0,85.51753834894808,56.74598831924358,133.0,71.0,95.0,0.025,5
47.0,48.98470858580344,27.473017009578196,81.43615992149704,41.0,56.0,0.035,6
31.0,31.717681811798535,15.0,51.0,26.0,37.0,0.045,7
23.0,23.159070814572033,11.0,34.534543214664176,19.0,27.0,0.055,22
19.0,19.258558213164477,11.0,28.0,16.0,23.0,0.065,21
16.0,15.919900222739887,8.0,23.0,13.0,19.0,0.075,18
14.0,14.050783275215633,8.0,22.0,12.0,16.0,0.085,12
12.0,12.52719835583478,6.624868252212261,19.0,10.0,15.0,0.095,10
11.0,11.048384915515404,4.0,17.0,9.0,13.0,0.105,18
9.0,9.070763024693354,4.0,15.0,7.0,11.0,0.115,14
6.0,6.493575385187761,2.0,12.127264106629692,4.0,8.0,0.125,9
5.0,4.863993011923411,1.0,9.0,3.0,6.0,0.135,5
3.0,3.54947582626159,0.0,7.0,2.0,5.0,0.145,6
2.0,2.517935707349069,0.0,6.0,1.0,3.7913153551287686,0.155,3
1.0,1.6478119723212745,0.0,5.0,1.0,2.0,0.165,0
1.0,1.1720662437947833,0.0,4.0,0.0,2.0,0.175,0
1.0,1.0272913720345995,0.0,3.0,0.0,2.0,0.185,0
0.0,0.7891568711607811,0.0,4.0,0.0,1.0,0.195,0
0.0,0.6683572722006144,0.0,3.0,0.0,1.0,0.205,0
0.0,0.7309849039899172,0.0,3.0,0.0,1.0,0.215,0
0.0,0.5735620322034168,0.0,3.0,0.0,1.0,0.225,0
0.0,0.565091812603991,0.0,2.0,0.0,1.0,0.235,1
0.0,0.4369976441687209,0.0,2.0,0.0,1.0,0.245,0
0.0,0.4263766755117283,0.0,2.0,0.0,1.0,0.255,0
0.0,0.42143155830256196,0.0,2.0,0.0,1.0,0.265,0
0.0,0.33206714788757774,0.0,2.0,0.0,1.0,0.275,0
0.0,0.2835877814528285,0.0,2.0,0.0,0.0,0.285,0
0.0,0.2832736392313972,0.0,2.0,0.0,0.0,0.295,0
0.0,0.3188269094500525,0.0,2.0,0.0,1.0,0.305,0
0.0,0.17283774167081883,0.0,1.0,0.0,0.0,0.315,0
0.0,0.135294433698731,0.0,1.0,0.0,0.0,0.325,0
0.0,0.09550038712158941,0.0,1.0,0.0,0.0,0.335,0
0.0,0.15602065221141806,0.0,1.0,0.0,0.0,0.345,0
0.0,0.12856165781042656,0.0,2.0,0.0,0.0,0.355,0
0.0,0.11111002668591966,0.0,1.0,0.0,0.0,0.365,0
0.0,0.13489269484083152,0.0,1.0,0.0,0.0,0.375,0
