"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
144.0,147.79047974936168,97.722524205753,213.19049084355345,129.0,166.0,0.005,0
184.0,190.11252541856715,128.98391081038093,265.71154747063497,165.6896873045149,207.0,0.015,0
106.0,106.82188011598151,67.0834826012362,145.2488943455008,93.0,120.0,0.025,9
61.0,61.00652050227132,33.0,91.40175313517383,50.0,71.0,0.035,20
39.0,39.491661232492206,23.0,63.0,32.0,46.0,0.045,19
28.0,28.6345054039432,18.0,43.0,24.0,33.0,0.055,31
23.0,23.668829781554173,11.8928531529908,34.83270284757023,20.0,28.0,0.065,29
20.0,20.610947509844788,13.0,31.0,17.0,24.0,0.075,16
18.0,18.669268683140782,11.0,28.201475515783848,15.861628987770152,21.73061905278862,0.085,18
17.0,16.793864941017894,9.0,25.176485920856194,14.0,19.0,0.095,21
15.0,14.743030291697428,9.0,24.0,12.0,17.0,0.105,24
11.0,11.683209516788143,6.0,18.0,9.360296524720304,14.0,0.115,17
8.0,8.523796724664967,3.0,15.0,6.0,11.0,0.125,16
5.0,5.576430321758418,1.0,11.0,4.0,7.0,0.135,5
4.0,4.025827523749168,0.0,9.0,3.0,5.0,0.145,1
2.0,2.5812630966525036,0.0,6.0,1.0,4.0,0.155,1
1.0,1.7606557592051828,0.0,5.0,1.0,3.0,0.165,0
1.0,1.4743241954205941,0.0,5.0,1.0,2.0,0.175,1
1.0,1.078642178686119,0.0,4.0,0.0,2.0,0.185,0
1.0,1.0709051369904148,0.0,4.0,0.0,2.0,0.195,0
1.0,0.8793011454529558,0.0,3.0,0.0,1.0,0.205,0
0.0,0.7672826198154722,0.0,3.0,0.0,1.0,0.215,2
0.0,0.6769014256122523,0.0,3.0,0.0,1.0,0.225,0
0.0,0.6401364528283319,0.0,2.0962981006213757,0.0,1.0,0.235,0
0.0,0.6121570992481828,0.0,2.0,0.0,1.0,0.245,0
0.0,0.6355499116097442,0.0,2.796846497558347,0.0,1.0,0.255,0
0.0,0.5587902117610306,0.0,3.0,0.0,1.0,0.265,0
0.0,0.5068623430481718,0.0,2.0,0.0,1.0,0.275,0
0.0,0.3901486545238036,0.0,2.0,0.0,1.0,0.285,0
0.0,0.3640180763660175,0.0,2.0,0.0,1.0,0.295,0
0.0,0.2732202571812445,0.0,2.0,0.0,0.0,0.305,0
0.0,0.34980941220392503,0.0,2.0,0.0,1.0,0.315,0
0.0,0.23669822568446489,0.0,1.0,0.0,0.0,0.325,0
0.0,0.2241903832260514,0.0,1.0,0.0,0.0,0.335,0
0.0,0.1625613567974336,0.0,1.0,0.0,0.0,0.345,0
0.0,0.22142488181727618,0.0,1.0,0.0,0.0,0.355,0
0.0,0.21963305559639695,0.0,2.0,0.0,0.0,0.365,0
0.0,0.1632011914595998,0.0,1.0,0.0,0.0,0.375,0
0.0,0.20002554839056658,0.0,2.0,0.0,0.0,0.385,0
0.0,0.17955143754947078,0.0,2.0,0.0,0.0,0.395,0
0.0,0.2100607056037929,0.0,1.0,0.0,0.0,0.405,0
0.0,0.21643065302916137,0.0,1.0,0.0,0.0,0.415,0
0.0,0.4008749428396945,0.0,2.0,0.0,1.0,0.425,0
0.0,0.5127055564846592,0.0,2.0,0.0,1.0,0.435,0
1.0,1.8622782636432635,0.0,7.0,1.0,3.0,0.445,0
3.0,4.480531617679764,0.0,13.0,2.0,6.0,0.455,0
7.0,8.94966150075914,0.0,27.381942172028296,3.0,12.0,0.465,0
13.0,18.140294159149494,0.0,62.38146927552924,6.0,25.10962447531547,0.475,1
22.0,31.32658658534167,2.0,103.0,10.0,44.56486148075342,0.485,0
35.0,48.538869986100565,2.0,167.39029323255363,17.419850321273305,67.14577814995839,0.495,0
47.0,72.80405503663333,1.0,267.7384844409107,22.0,100.50849038036662,0.505,0
65.0,99.31982413513343,1.0,374.36924222045434,26.928569438052058,141.7740728839968,0.515,0
74.0,117.11663033250541,1.0,427.90318983836244,31.0,167.33971249968604,0.525,0
77.0,126.5108901736125,0.0,464.1415708949255,32.0,180.04096727251013,0.535,0
72.0,128.5621527463737,2.0,515.8421474239028,26.87546705933448,178.54262070446046,0.545,1
69.0,115.99196535206143,0.0,454.6907568519585,25.0,161.81760351816698,0.555,0
54.0,95.08932481829504,1.0,404.74909057178706,18.0,136.4897401034618,0.565,0
38.0,68.91832839510803,0.0,309.7794708549737,11.0,99.53015382805148,0.575,0
26.0,47.247127019959294,0.0,201.15591946829088,6.65374880994394,69.0,0.585,0
16.0,28.317375579006402,0.0,127.99118820909236,3.0,39.0,0.595,0
8.0,15.397955761124027,0.0,67.38426310225252,2.0,21.0,0.605,0
5.0,7.8277105754294665,0.0,34.588413432357,1.0,12.0,0.615,0
2.0,3.2794560099207204,0.0,16.0,0.0,4.0,0.625,0
0.0,1.4205503230111005,0.0,10.0,0.0,2.0,0.635,0
0.0,0.48075569071467444,0.0,3.0,0.0,1.0,0.645,0
0.0,0.11437980071646948,0.0,1.0,0.0,0.0,0.655,0
0.0,0.04525445898903611,0.0,1.0,0.0,0.0,0.665,0
0.0,0.008045010899581812,0.0,0.0,0.0,0.0,0.675,0
0.0,0.004106943008427963,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
0.0,0.0,0.0,0.0,0.0,0.0,0.805,0
0.0,0.0,0.0,0.0,0.0,0.0,0.815,0
0.0,0.0,0.0,0.0,0.0,0.0,0.825,0
0.0,0.0,0.0,0.0,0.0,0.0,0.835,0
0.0,0.0,0.0,0.0,0.0,0.0,0.845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.855,0
0.0,0.0,0.0,0.0,0.0,0.0,0.865,0
0.0,0.0,0.0,0.0,0.0,0.0,0.875,0
0.0,0.0,0.0,0.0,0.0,0.0,0.885,0
0.0,0.0,0.0,0.0,0.0,0.0,0.895,0
0.0,0.0,0.0,0.0,0.0,0.0,0.905,0
0.0,0.0,0.0,0.0,0.0,0.0,0.915,0
0.0,0.0,0.0,0.0,0.0,0.0,0.925,0
0.0,0.0,0.0,0.0,0.0,0.0,0.935,0
0.0,0.0,0.0,0.0,0.0,0.0,0.945,0
0.0,0.0,0.0,0.0,0.0,0.0,0.955,0
0.0,0.0,0.0,0.0,0.0,0.0,0.965,0
0.0,0.0,0.0,0.0,0.0,0.0,0.975,0
0.0,0.0,0.0,0.0,0.0,0.0,0.985,0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0
