"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
49.0,48.61222487987237,27.0,73.56272931037742,40.0,57.0,0.005,0
61.0,62.899108521135304,34.08531190903997,90.88406730150537,52.0,74.0,0.015,0
35.0,35.732218756425084,20.0,55.93921848559309,29.0,42.0,0.025,0
20.0,20.212730617476918,10.45592889927782,33.0,16.0,24.0,0.035,7
12.0,12.582125219505732,5.0,23.70586658431997,9.0,16.0,0.045,14
7.0,7.390425134039533,2.172592663626143,13.0,6.0,9.0,0.055,5
5.0,4.954250387010023,2.0,9.0,3.0,6.0,0.065,4
4.0,3.990315392822511,1.0,8.0,3.0,5.0,0.075,6
3.0,2.9850645610478486,1.0,6.0,2.0,4.0,0.085,3
2.0,2.3501182882944676,0.0,5.0,1.0,3.0,0.095,3
1.0,1.5110733424229645,0.0,4.0,1.0,2.0,0.105,0
1.0,1.324674679393386,0.0,4.0,0.0,2.0,0.115,3
1.0,1.1601019093930196,0.0,4.0,0.0,2.0,0.125,0
1.0,1.054166340579913,0.0,3.0,0.0,2.0,0.135,0
1.0,1.159741833839462,0.0,4.0,0.0,2.0,0.145,0
1.0,1.379410849307654,0.0,4.0,1.0,2.0,0.155,0
2.0,1.947794831317581,0.0,5.0,1.0,3.0,0.165,2
3.0,2.6681428202523723,0.0,6.0,2.0,4.0,0.175,6
3.0,2.721363537264646,0.0,6.0,2.0,3.0,0.185,0
3.0,2.8770031740357664,0.0,6.0,2.0,4.0,0.195,6
2.0,2.5536132820065562,0.0,5.0,2.0,3.0,0.205,4
2.0,1.8173867131579404,0.0,4.0,1.0,3.0,0.215,3
1.0,0.8614731791886375,0.0,3.0,0.0,1.0,0.225,0
0.0,0.6478168231583196,0.0,2.0,0.0,1.0,0.235,0
0.0,0.4081347419835571,0.0,2.0,0.0,1.0,0.245,0
0.0,0.3278437907613216,0.0,2.0,0.0,1.0,0.255,0
0.0,0.23557165598185323,0.0,1.0,0.0,0.0,0.265,0
0.0,0.20794168149409153,0.0,1.0,0.0,0.0,0.275,0
0.0,0.19675145455842696,0.0,1.0,0.0,0.0,0.285,0
0.0,0.11530161021860799,0.0,1.0,0.0,0.0,0.295,0
0.0,0.13539663061231025,0.0,1.0,0.0,0.0,0.305,0
0.0,0.08313638222608215,0.0,1.0,0.0,0.0,0.315,0
0.0,0.0865911575184004,0.0,1.0,0.0,0.0,0.325,0
0.0,0.11142395859403564,0.0,1.0,0.0,0.0,0.335,0
0.0,0.06699590773926563,0.0,1.0,0.0,0.0,0.345,0
0.0,0.04850879506660061,0.0,1.0,0.0,0.0,0.355,0
0.0,0.06773723456869182,0.0,1.0,0.0,0.0,0.365,0
0.0,0.04319810663493825,0.0,1.0,0.0,0.0,0.375,0
0.0,0.08717013908393133,0.0,1.0,0.0,0.0,0.385,0
0.0,0.04173576105372414,0.0,1.0,0.0,0.0,0.395,0
0.0,0.09839172506565808,0.0,1.0,0.0,0.0,0.405,2
0.0,0.10292976321165184,0.0,1.0,0.0,0.0,0.415,0
0.0,0.17695079041440534,0.0,1.0,0.0,0.0,0.425,0
0.0,0.4555995299727612,0.0,2.0,0.0,1.0,0.435,0
1.0,1.9247337645834341,0.0,9.0,0.0,3.0,0.445,0
4.0,4.897141318202766,0.0,16.0,2.0,7.0,0.455,0
7.0,10.074622559200291,0.0,33.571269295900386,3.0,14.0,0.465,0
14.0,19.43775802503717,1.0,69.2765755562451,6.0,27.0,0.475,0
26.0,33.17479069936822,1.0,105.09669100068488,11.0,45.0,0.485,0
41.0,53.546322664336515,2.0,181.9041828049365,16.0,79.0,0.495,0
59.0,79.50504424526639,2.0,286.63061761119724,20.294032011666705,112.0,0.505,0
80.0,107.2203285817789,3.0,381.26902522263845,27.0,155.0,0.515,0
89.0,126.94946550250336,3.0911276945599577,471.61657177190204,29.0,173.4902523564529,0.525,2
96.0,138.53731074367124,3.702362821706486,541.0437639126716,32.0,187.73635554035448,0.535,0
91.0,136.48804049124132,2.0,560.6003680110845,26.57309771867046,194.35524420863285,0.545,0
78.0,123.47069363786285,1.0,465.83031733267256,24.0,178.58449059128952,0.555,0
62.0,102.17592389262377,1.0,438.96220759801065,17.0,142.50315109294507,0.565,0
44.0,72.66407041672824,0.0,321.7131291738011,11.0,100.41164430648709,0.575,0
28.0,48.836333764966504,0.0,202.96625099665815,7.0,70.0,0.585,0
16.0,29.86670344924378,0.0,138.35213102158784,4.0,41.91366283869521,0.595,0
8.0,16.119042793460743,0.0,77.35078019585534,2.0,24.0,0.605,0
4.0,8.392515064488103,0.0,41.85097560572511,1.0,11.994459797275487,0.615,0
1.0,3.3272312308276057,0.0,15.211787607892344,0.0,5.0,0.625,0
1.0,1.3105112211453929,0.0,6.0,0.0,2.0,0.635,0
0.0,0.5060356075805152,0.0,3.0,0.0,1.0,0.645,0
0.0,0.2601785297121175,0.0,2.179837024086057,0.0,0.0,0.655,0
0.0,0.014099621441037297,0.0,0.0,0.0,0.0,0.665,0
0.0,0.020620705673956963,0.0,0.0,0.0,0.0,0.675,0
0.0,0.005346608658704988,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
0.0,0.0,0.0,0.0,0.0,0.0,0.805,0
0.0,0.0,0.0,0.0,0.0,0.0,0.815,0
0.0,0.0,0.0,0.0,0.0,0.0,0.825,0
0.0,0.0,0.0,0.0,0.0,0.0,0.835,0
0.0,0.0,0.0,0.0,0.0,0.0,0.845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.855,0
0.0,0.0,0.0,0.0,0.0,0.0,0.865,0
0.0,0.0,0.0,0.0,0.0,0.0,0.875,0
0.0,0.0,0.0,0.0,0.0,0.0,0.885,0
0.0,0.0,0.0,0.0,0.0,0.0,0.895,0
