"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
94.0,99.83527191086921,92.14132238733461,122.2529900311277,93.41322387334615,97.52990031127707,0.005,0
134.0,141.54485327917368,133.06568871490228,154.30825924957244,133.65688714902282,148.08259249572444,0.015,0
75.0,81.53828248495594,61.05991790500962,107.29495932966546,70.59917905009618,91.94959329665473,0.025,0
42.0,44.93482296197832,30.847934324007696,62.67385725640647,38.47934324007695,50.73857256406479,0.035,0
23.0,20.39266706636202,13.378897926741006,27.673010858220874,16.78897926741006,24.73010858220878,0.045,0
14.0,13.5610207746396,11.096122855578823,16.784887003030157,11.961228555788223,14.848870030301565,0.055,13
11.0,11.757316271360459,11.0,12.934311285097719,11.0,12.343112850977182,0.065,19
8.0,7.809432692802871,6.141322387334616,9.810551036629496,7.413223873346158,8.10551036629497,0.075,11
4.0,4.15553110833096,2.1364509004229983,5.901179892796064,3.3645090042299843,5.011798927960636,0.085,2
2.0,2.599349170243555,1.0988201072039363,4.802933855293153,1.9882010720393632,3.029338552931546,0.095,2
1.0,1.2198655416586501,0.06822545021149923,2.0,0.6822545021149923,2.0,0.105,0
2.0,2.5065015094309335,2.0,3.8398654962502485,2.0,2.398654962502489,0.115,0
1.0,1.1783492953118522,0.07066119366730797,2.0,0.7066119366730793,2.0,0.125,0
1.0,1.188916321387776,1.0,1.9011798927960635,1.0,1.011798927960636,0.135,0
1.0,0.9047163464014354,0.07066119366730797,1.905275518314748,0.7066119366730793,1.052755183147485,0.145,2
1.0,1.1245818880600857,0.06822545021149923,2.802359785592127,0.6822545021149923,1.0235978559212722,0.155,0
1.0,2.0130030188618666,1.0,4.679730992500497,1.0,1.7973099250049782,0.165,0
2.0,1.9356655666723097,1.0682254502114992,2.9011798927960637,1.6822545021149922,2.011798927960636,0.175,0
2.0,1.749185238070476,0.09472448168525154,3.8586776126653834,0.9472448168525148,2.5867761266538416,0.185,0
1.0,1.293116015252912,0.07170433232328116,3.711631433263533,0.7170433232328117,1.116314332635331,0.195,2
3.0,3.2736329489104166,3.0,3.9258967458193634,3.0,3.258967458193639,0.205,0
4.0,4.570050935782035,1.2402017556246268,7.71460811048586,3.4020175562462667,5.146081104858624,0.215,9
4.0,4.7597522641464005,4.0,6.759798244375373,4.0,4.597982443753733,0.225,4
3.0,3.63033153953412,1.1413223873346159,5.934602171644175,2.4132238733461584,5.346021716441756,0.235,5
4.0,5.797181531897903,4.0,8.802359785592127,4.0,7.023597855921272,0.245,10
7.0,6.969050779729127,6.094724481685252,7.929338806332692,6.947244816852515,7.293388063326921,0.255,12
3.0,4.417697903312997,3.0,8.505899463980317,3.0,4.05899463980318,0.265,6
5.0,3.990184831880975,2.1922457111576445,5.0,3.922457111576446,5.0,0.275,3
4.0,2.7582153992129124,0.0800672518748756,4.925896745819363,0.8006725187487556,4.25896745819364,0.285,4
2.0,1.790701484417274,1.0,2.9199327481251243,1.0,2.1993274812512444,0.295,1
1.0,0.9047163464014354,0.07066119366730797,1.905275518314748,0.7066119366730793,1.052755183147485,0.305,0
0.0,1.0098151681190257,0.0,2.8635490995770017,0.0,1.6354909957700154,0.315,0
1.0,1.0952836535985646,0.0800672518748756,1.928652027621465,0.8006725187487556,1.286520276214656,0.325,0
1.0,0.5268837036258832,0.0,1.0,0.0,1.0,0.335,0
0.0,0.0,0.0,0.0,0.0,0.0,0.345,0
0.0,0.0,0.0,0.0,0.0,0.0,0.355,0
0.0,0.0,0.0,0.0,0.0,0.0,0.365,0
0.0,0.0,0.0,0.0,0.0,0.0,0.375,0
0.0,0.0,0.0,0.0,0.0,0.0,0.385,0
0.0,0.0,0.0,0.0,0.0,0.0,0.395,0
0.0,0.0,0.0,0.0,0.0,0.0,0.405,0
0.0,0.0,0.0,0.0,0.0,0.0,0.415,1
0.0,0.28419997498634064,0.0,0.9286520276214649,0.0,0.286520276214656,0.425,0
0.0,0.0,0.0,0.0,0.0,0.0,0.435,0
2.0,2.2101976434351807,0.0,5.703586983277454,0.0,3.035869832774557,0.445,0
2.0,3.199630617359256,1.0,7.55538047491618,1.0,3.5538047491618356,0.455,0
4.0,8.25035744376374,1.1976402144078726,21.703716445981502,2.9764021440787265,10.037164459815138,0.465,2
14.0,25.025457138158526,4.4941005360196815,63.38405113879051,8.941005360196815,30.840511387905384,0.475,1
34.0,38.16596767038957,4.320269007499502,89.5538047491618,7.202690074995022,49.53804749161836,0.485,2
36.0,60.66535926091851,14.098820107203936,152.47181872356254,14.988201072039363,75.7181872356259,0.495,0
50.0,90.58182079256032,22.480403511249254,224.06858821404032,26.804035112492535,98.68588214040417,0.505,0
60.0,120.68888278041894,30.201008778123136,298.8813604213957,41.010087781231334,126.81360421395893,0.515,1
100.0,155.01084865218618,28.56215205999602,369.4359530334347,51.62152059996018,175.35953033434902,0.525,0
97.0,174.464637017773,39.68141228937239,429.3969317491514,54.81412289372386,189.9693174915165,0.535,0
77.0,160.67944525600865,30.161815800621643,410.3228284949708,49.618158006216404,170.22828494971014,0.545,1
55.0,148.69974647834744,25.00168129687189,398.5076926989838,43.01681296871889,151.07692698984016,0.555,0
71.0,123.1173759515596,26.88073977062363,305.2518766922989,34.807397706236316,136.51876692299072,0.565,0
37.0,96.59484145196276,15.120941526248258,261.0670124882859,25.20941526248258,99.6701248828607,0.575,0
31.0,66.21793895399789,9.800672518748756,174.5139956020013,17.006725187487554,71.13995602001408,0.585,0
15.0,35.442887917101906,6.499435806649741,91.84942990300715,10.994358066497409,36.49429903007206,0.595,0
11.0,19.7141003817055,6.080067251874875,47.10997308695517,6.800672518748756,21.09973086955193,0.605,0
6.0,9.916477040120926,2.2402017556246268,22.666141424748538,4.402017556246267,10.661414247485506,0.615,0
2.0,5.431894589818431,0.0,16.814347933109815,0.0,6.143479331098228,0.625,0
1.0,1.6523647195384235,0.0,4.703586983277454,0.0,2.035869832774557,0.635,0
0.0,1.3681647445520828,0.0,4.629483729096816,0.0,1.2948372909681962,0.645,0
0.0,0.27363294891041656,0.0,0.9258967458193633,0.0,0.25896745819363926,0.655,0
0.0,0.0,0.0,0.0,0.0,0.0,0.665,0
0.0,0.0,0.0,0.0,0.0,0.0,0.675,0
0.0,0.0,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
