"mu","clonalmutations","s","t","cellularity","frequency","scmuts","weight"
4.941750054294541,2573.354205689005,0.21612451106997402,6.027846343267053,1.0945024006204254,0.4425,45.0,0.0025762617723778638
2.8799728910186375,1085.7301313683515,0.7467102165892918,13.944998376829425,1.0955782152899436,0.4619,49.0,0.00165038730595853
4.15203250895374,482.8335474559341,0.3376068775277274,8.37513418038232,1.08437532107801,0.4516,58.0,0.0020332090088510885
2.893082032214048,428.81311204878307,0.6611235540624768,13.130031474754215,1.0650958134512751,0.4329,47.0,0.0014844122782487438
2.5608924816110696,2856.301504899731,0.7842194695450542,14.377875269624582,1.0965282893770834,0.4514,48.0,0.0021437515857048194
3.329284555983392,2443.5125137137816,0.4409643528295917,10.217292629574848,1.0985278184322749,0.4264,55.0,0.0013981330332211404
3.5987123048451255,415.97764587645406,0.6008943331415126,12.396690442382202,1.055502965325611,0.4347,63.0,0.0016286290298679921
2.796682620151384,589.7113378124814,0.709355927816007,13.61131724766206,1.079700116632884,0.4468,45.0,0.0014558814560259065
2.843471161611771,646.1320501962141,0.38582524070424506,9.314675469659742,1.0988857295822312,0.4303,52.0,0.0015707516563050231
3.0679196275271625,1418.6028052032293,0.639162058101716,12.804558988863608,1.0996132831039322,0.4476,46.0,0.0018975371529567282
4.123552363780041,971.5602071917401,0.33214748782318415,8.263796743479872,1.088385112271319,0.4542,49.0,0.0021934148999728756
4.097303261461612,39.720707388589744,0.3198613896109095,7.969964708555377,1.0199312209607165,0.468,54.0,0.0032944697831156305
3.4791926121573495,1264.2738650856822,0.48561678581821105,10.77783870489868,1.0932017877336766,0.4487,63.0,0.002129158453793832
3.64876164617894,685.5387923166594,0.3969326130867391,9.249776911397475,1.0749400509041915,0.4808,44.0,0.0021685531138901917
3.5156085384889044,7.81239767226657,0.4168807612566492,9.631650850977385,1.0940431390014922,0.469,53.0,0.0026875286899557733
3.916428842236035,1773.5138825687704,0.21616347256781143,6.166284542055755,1.0875344634622728,0.4165,47.0,0.0012527586480475
3.7112605737803537,1119.8128426576773,0.5218160310874578,11.41239072016049,1.0979869427257578,0.4231,57.0,0.0019428189579159452
3.585102901146011,179.6983653200532,0.2805190726847821,7.21553070999347,1.0469484625793843,0.4693,49.0,0.001334924811973622
2.863893069723257,4306.9396143438635,0.3994792450498111,9.494192579930873,1.0921755622941205,0.4396,47.0,0.006513588668956767
2.8182382813105495,491.3107959653107,0.5548716358824859,11.709141687983,1.0855806158324353,0.4551,54.0,0.0023636280166083054
2.9268243737596396,1012.0002787330477,0.6176333910880815,12.722598646329095,1.0763256184266279,0.4089,68.0,0.0016077889989386531
3.6458843299689923,1136.858771274026,0.42721115363169776,9.85129165239649,1.0648065370420492,0.4576,56.0,0.0020328412781386775
2.850761434019321,895.1898560257782,0.6444817412032711,12.831240447195622,1.0879223727274572,0.4556,53.0,0.0014180223980607511
3.1328944046400284,39.44651107844015,0.6011361612685593,12.291478055891888,1.0723656941832316,0.4581,39.0,0.0018266343373632714
3.51067273273376,86.59336120230097,0.4354329123556691,10.057308662379672,1.056978698633713,0.4417,52.0,0.0015267688245717108
3.5876662350369375,1917.0542707210564,0.415210426614954,9.82360145344523,1.0918557992451003,0.4243,51.0,0.001363674271969084
