"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
177.0,180.19535681236343,118.91812732845217,262.0822529894579,151.0,206.49440127706924,0.005,0
227.0,231.9102443061183,159.0,330.74792837048034,202.0,257.96175092387926,0.015,0
129.0,130.92447463631277,84.70861039874985,189.92708431828046,111.0,149.0,0.025,40
74.0,74.91308331679168,47.5633409905547,111.0,63.0,85.86116071549793,0.035,128
44.0,44.861711754536046,26.0,68.00461910219524,37.0,52.0,0.045,87
27.0,27.865933092764763,15.0,44.0,23.0,33.0,0.055,41
18.0,18.037732949766426,8.0,29.0,14.0,22.0,0.065,23
12.0,11.964876664205109,4.888696731354244,20.0,9.0,15.0,0.075,3
8.0,8.57367735624805,2.0,16.0,6.0,11.0,0.085,0
6.0,6.609409964784742,1.0,13.706358238975621,4.0,9.0,0.095,1
5.0,5.1050810507062305,1.0,10.069018375718178,3.0,7.0,0.105,0
4.0,4.579870287386718,1.0,10.0,3.0,6.0,0.115,0
3.0,3.7465011411735962,0.0,8.0,2.0,5.0,0.125,0
4.0,3.972264506175089,0.14750592382766234,9.0,2.0,5.0,0.135,0
4.0,4.112476839473288,1.0,9.48282145003557,2.0,6.0,0.145,3
5.0,4.824127600806963,1.0,10.0,3.0,7.0,0.155,2
6.0,6.559850728256777,2.0,13.0,4.0,8.0,0.165,2
9.0,9.099640577915462,3.0,16.0,7.0,11.0,0.175,17
13.0,13.288529557222654,6.0,23.0,10.0,16.0,0.185,11
18.0,18.365709668998967,10.0,28.0,15.0,21.0,0.195,21
22.0,22.83274168819379,14.0,33.0,20.0,26.0,0.205,24
26.0,25.80319862342817,17.0,35.0,22.0,29.0,0.215,38
25.0,25.005066502683395,16.0,34.46995820808174,22.0,28.0,0.225,35
23.0,23.14678829036396,15.0,32.0,20.0,26.0,0.235,23
18.0,18.203421050357473,10.0,28.0,15.0,21.0,0.245,18
13.0,13.597480954331935,7.0,23.0,11.0,16.0,0.255,20
10.0,10.024474270150112,4.0,18.0,8.0,12.0,0.265,14
6.0,6.432126216933391,2.0,12.0,4.0,8.0,0.275,4
4.0,4.657397430967992,1.0,10.0,3.0,6.0,0.285,1
3.0,3.005295145741607,0.0,7.0,2.0,4.0,0.295,1
2.0,2.1517044325417056,0.0,6.0,1.0,3.0,0.305,0
1.0,1.544337718600069,0.0,5.0,0.0,2.0,0.315,0
1.0,1.0477682908062578,0.0,4.0,0.0,2.0,0.325,0
0.0,0.7919926694912657,0.0,3.0,0.0,1.0,0.335,0
0.0,0.5394053588315868,0.0,3.0,0.0,1.0,0.345,0
0.0,0.4673102183816774,0.0,3.0,0.0,1.0,0.355,0
0.0,0.30556407300862776,0.0,2.0,0.0,0.0,0.365,0
