"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
16.0,17.59674575852409,7.0,31.0,14.0,21.0,0.005,0
22.0,22.629941920792056,9.0,37.885410439050474,17.0,27.0,0.015,0
13.0,12.816598478896367,5.0,23.0,9.0,16.0,0.025,6
7.0,7.8811679772607794,2.0,15.0,5.0,11.0,0.035,18
6.0,5.86484575850499,1.0,12.0,4.0,8.0,0.045,12
6.0,5.930116227446085,2.459066551051147,10.0,5.0,7.0,0.055,6
5.0,4.666101157842494,2.0,8.0,3.0,6.0,0.065,10
2.0,2.2275937454325683,0.0,5.0,1.0,3.0,0.075,0
1.0,1.1750684715499482,0.0,3.0,0.0,2.0,0.085,0
1.0,0.711394810219914,0.0,3.0,0.0,1.0,0.095,0
0.0,0.5143079162999616,0.0,2.0,0.0,1.0,0.105,2
0.0,0.43346668303342856,0.0,2.0,0.0,1.0,0.115,0
0.0,0.18339224070057533,0.0,1.0,0.0,0.0,0.125,0
0.0,0.15437823614303722,0.0,1.0,0.0,0.0,0.135,0
0.0,0.11737979680519584,0.0,1.0,0.0,0.0,0.145,0
0.0,0.06914371719542668,0.0,1.0,0.0,0.0,0.155,0
0.0,0.11121173982218495,0.0,1.0,0.0,0.0,0.165,0
0.0,0.06328630686074148,0.0,1.0,0.0,0.0,0.175,0
0.0,0.030124219499326345,0.0,1.0,0.0,0.0,0.185,0
0.0,0.025785932673081335,0.0,0.33825470962890153,0.0,0.0,0.195,0
0.0,0.03252595068734097,0.0,1.0,0.0,0.0,0.205,0
0.0,0.020869648428065574,0.0,0.0,0.0,0.0,0.215,0
0.0,0.013093070304650798,0.0,0.0,0.0,0.0,0.225,0
0.0,0.0056885197483706506,0.0,0.0,0.0,0.0,0.235,0
0.0,0.012962172013405413,0.0,0.0,0.0,0.0,0.245,0
0.0,0.0055646251136818245,0.0,0.0,0.0,0.0,0.255,0
0.0,0.0026974632744996498,0.0,0.0,0.0,0.0,0.265,0
0.0,0.0,0.0,0.0,0.0,0.0,0.275,0
0.0,0.005979960013710256,0.0,0.0,0.0,0.0,0.285,0
0.0,0.002431996793439953,0.0,0.0,0.0,0.0,0.295,0
0.0,0.0027286352092010958,0.0,0.0,0.0,0.0,0.305,0
0.0,0.002550567679972929,0.0,0.0,0.0,0.0,0.315,0
0.0,0.0,0.0,0.0,0.0,0.0,0.325,0
0.0,0.011513278859784024,0.0,0.0,0.0,0.0,0.335,0
0.0,0.0,0.0,0.0,0.0,0.0,0.345,0
0.0,0.0049827513675992285,0.0,0.0,0.0,0.0,0.355,0
0.0,0.0025298629526883756,0.0,0.0,0.0,0.0,0.365,0
0.0,0.0,0.0,0.0,0.0,0.0,0.375,0
0.0,0.0,0.0,0.0,0.0,0.0,0.385,0
0.0,0.0,0.0,0.0,0.0,0.0,0.395,0
0.0,0.0,0.0,0.0,0.0,0.0,0.405,0
0.0,0.0,0.0,0.0,0.0,0.0,0.415,0
0.0,0.0025424580980157496,0.0,0.0,0.0,0.0,0.425,0
0.0,0.0,0.0,0.0,0.0,0.0,0.435,0
0.0,0.6525700768896849,0.0,3.0,0.0,1.0,0.445,0
1.0,2.2481672382562503,0.0,9.0,0.0,3.0,0.455,0
3.0,4.53916828668773,0.0,16.0,1.0,7.0,0.465,0
6.0,8.839515713220818,0.0,33.90347168702428,2.0,12.900398306231194,0.475,0
11.0,15.712276401689074,0.0,59.41837464269062,4.0,22.0,0.485,0
