"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
139.0,143.29411874592506,89.49349804936071,227.0942124892764,121.0,163.0,0.005,0
180.0,184.87673846294462,115.44349485355572,278.11110822497335,157.0,205.0,0.015,0
104.0,104.89234611216811,65.42279963829648,159.7764723546995,88.85428947479542,117.0,0.025,11
62.0,63.56014353462497,35.0,109.41609526276459,51.0,75.0,0.035,27
45.0,46.50495405768082,25.0,82.25365869326247,36.0,54.0,0.045,28
41.0,41.77029731093624,21.276666607269263,70.0,33.0,49.0,0.055,28
41.0,40.37332465156453,24.0,60.0,34.0,46.0,0.065,39
37.0,36.890024927960866,25.0,50.0,32.0,41.0,0.075,61
30.0,30.357503148059067,20.0,43.0,26.0,34.0,0.085,56
22.0,22.11548652782363,11.0,35.0,18.0,26.0,0.095,29
14.0,14.827634156293177,6.0,24.00042892892553,11.0,18.0,0.105,25
10.0,10.06048021211527,4.0,18.0,7.0,13.0,0.115,7
6.0,6.330078511293667,2.0,12.0,4.0,8.0,0.125,0
4.0,4.461825041790115,1.0,10.0,3.0,6.0,0.135,1
3.0,3.1927156501915026,0.0,8.0,2.0,4.0,0.145,0
2.0,2.451303139424096,0.0,6.0,1.0,4.0,0.155,0
2.0,2.0509881563611385,0.0,6.0,1.0,3.0,0.165,0
2.0,1.697531932882914,0.0,5.0,1.0,2.0,0.175,0
1.0,1.4788527325845957,0.0,5.0,0.0,2.0,0.185,0
1.0,1.3327777015595592,0.0,4.0,0.0,2.0,0.195,0
1.0,1.1700178400975494,0.0,4.0,0.0,2.0,0.205,0
1.0,1.1431255727531393,0.0,4.0,0.0,2.0,0.215,0
1.0,0.8957748349576742,0.0,3.0,0.0,1.0,0.225,0
1.0,1.0116860197873219,0.0,4.0,0.0,2.0,0.235,0
0.0,0.7187668348585099,0.0,3.0,0.0,1.0,0.245,0
0.0,0.7007872752786916,0.0,3.0,0.0,1.0,0.255,0
0.0,0.7535138759868636,0.0,3.0,0.0,1.0,0.265,0
0.0,0.5932550376696518,0.0,3.0,0.0,1.0,0.275,0
0.0,0.5346819402584192,0.0,3.0,0.0,1.0,0.285,0
0.0,0.5388936130400214,0.0,3.0,0.0,1.0,0.295,0
0.0,0.42319363622299067,0.0,2.0,0.0,1.0,0.305,0
0.0,0.4918092901225002,0.0,2.0,0.0,1.0,0.315,0
0.0,0.3959001697245826,0.0,2.0,0.0,1.0,0.325,0
0.0,0.3732518254296923,0.0,2.0,0.0,1.0,0.335,0
0.0,0.3547890310018845,0.0,2.0,0.0,1.0,0.345,0
0.0,0.32689179450797345,0.0,2.0,0.0,0.0,0.355,0
0.0,0.3489759086100059,0.0,2.0,0.0,1.0,0.365,0
0.0,0.28073842669215404,0.0,2.0,0.0,0.0,0.375,0
0.0,0.3435320524826811,0.0,2.0,0.0,0.0,0.385,0
0.0,0.2827155313228235,0.0,2.0,0.0,0.0,0.395,0
0.0,0.3505341093222933,0.0,2.0,0.0,1.0,0.405,0
0.0,0.3917849499070995,0.0,2.0,0.0,1.0,0.415,0
0.0,0.6037648276092943,0.0,3.0,0.0,1.0,0.425,0
1.0,1.0719741076842593,0.0,3.1530474748943758,0.0,2.0,0.435,0
2.0,2.671452804590195,0.0,9.0,1.0,4.0,0.445,0
5.0,6.20998721085098,0.0,19.511892796714267,2.0,9.0,0.455,0
9.0,12.258893910845996,0.0,37.0,4.0,18.0,0.465,0
17.0,21.979040420566,1.0,65.5276169315667,7.0,32.0,0.475,0
28.0,38.57683546414259,1.0,113.30423446982222,11.0,60.0,0.485,0
44.0,60.13441733829286,1.0,180.86162405377092,18.0,95.0,0.495,0
61.0,86.41085223362862,2.1590764220331335,261.5925137446674,21.973377758758055,142.0,0.505,0
78.0,115.72359535206678,1.0,352.5446742411857,26.0,190.0,0.515,0
88.0,134.19989049667785,1.0,418.23376264260594,29.555110357706283,220.5015502428658,0.525,0
94.0,144.13301189314473,1.0,472.53711630847977,27.0,237.0,0.535,0
90.0,143.5029084173525,0.4493241670531541,471.9322905201852,23.0,240.80884584811787,0.545,0
81.0,127.93980482944484,0.0,431.1454743469563,19.0,207.1551067133356,0.555,0
62.0,103.92071585442659,0.0,349.73654068306104,15.0,178.1164658367798,0.565,0
44.0,74.71418700686398,0.0,263.7423193172466,10.0,122.75367145579264,0.575,0
28.0,49.46429218144571,0.0,182.14503654235492,6.0,78.20763378903135,0.585,0
16.0,30.055279852412706,0.0,116.63417249194995,3.0,47.0,0.595,0
8.0,15.928161257550984,0.0,55.549411718445704,1.0,26.0,0.605,0
4.0,8.12051329275826,0.0,32.85986909337231,1.0,13.0,0.615,0
1.0,3.413648986930127,0.0,15.0,0.0,5.0,0.625,0
0.0,1.4181478593315089,0.0,8.0,0.0,2.0,0.635,0
0.0,0.48606869155540755,0.0,3.0,0.0,1.0,0.645,0
0.0,0.12984230510875414,0.0,1.0,0.0,0.0,0.655,0
0.0,0.031374723239426215,0.0,1.0,0.0,0.0,0.665,0
0.0,0.007347197655113218,0.0,0.0,0.0,0.0,0.675,0
0.0,0.0019445304510536433,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
0.0,0.0,0.0,0.0,0.0,0.0,0.805,0
0.0,0.0,0.0,0.0,0.0,0.0,0.815,0
0.0,0.0,0.0,0.0,0.0,0.0,0.825,0
0.0,0.0,0.0,0.0,0.0,0.0,0.835,0
0.0,0.0,0.0,0.0,0.0,0.0,0.845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.855,0
0.0,0.0,0.0,0.0,0.0,0.0,0.865,0
0.0,0.0,0.0,0.0,0.0,0.0,0.875,0
0.0,0.0,0.0,0.0,0.0,0.0,0.885,0
0.0,0.0,0.0,0.0,0.0,0.0,0.895,0
0.0,0.0,0.0,0.0,0.0,0.0,0.905,0
