"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
81.0,82.58974960624101,54.773372038502146,135.80401213098273,68.0,90.0,0.005,0
99.0,103.27067489271481,72.4862173916696,151.47391538700813,88.74531006224075,118.0,0.015,0
57.0,59.71140431259175,41.48680500527528,86.97941371176194,50.31392574050633,67.0,0.025,0
33.0,33.07392393392096,18.146399310469448,50.944390760278544,25.532202433514065,38.0,0.035,0
18.0,18.88492900816696,9.0,30.0,14.282692430576713,25.0,0.045,0
11.0,11.085816773013686,6.0,20.0,7.397157201617068,14.0,0.055,0
9.0,8.763709073969864,3.0,15.872758243751777,6.0,10.0,0.065,2
7.0,7.6474591053801095,4.0,14.0,5.0,9.0,0.075,5
9.0,8.915616890026097,4.0,14.0,8.0,10.0,0.085,5
8.0,9.036891547387425,4.0,15.93291032470062,7.0,11.0,0.095,12
11.0,11.214133243716844,6.0,17.347281112954953,9.0,13.0,0.105,19
9.0,9.022628696374023,4.648033771077264,14.0,7.0,10.891464567566405,0.115,16
7.0,7.656534576887236,3.0,12.839589800067706,6.0,9.45853536380552,0.125,12
6.0,6.094333446621263,1.0,10.0,4.0,8.0,0.135,9
4.0,4.260663735273656,1.0,7.0,3.0,5.0,0.145,1
2.0,2.2436281468845043,0.0,7.0,1.0,3.0,0.155,1
2.0,1.5399132094889194,0.0,4.0,1.0,2.0,0.165,1
1.0,1.1221222190002373,0.0,4.0,0.0,1.186274687633901,0.175,0
0.0,0.5158349335319404,0.0,2.0,0.0,1.0,0.185,0
0.0,0.46018756212760187,0.0,2.6584635810514783,0.0,1.0,0.195,0
0.0,0.2705781448552211,0.0,2.0,0.0,0.0,0.205,0
0.0,0.32583599463402085,0.0,2.0,0.0,1.0,0.215,0
0.0,0.338131344224787,0.0,2.0,0.0,1.0,0.225,0
0.0,0.3616442123100302,0.0,2.0,0.0,1.0,0.235,0
0.0,0.39756839493798385,0.0,2.0,0.0,1.0,0.245,0
0.0,0.4467108268375184,0.0,2.0,0.0,1.0,0.255,0
0.0,0.3843042347441445,0.0,1.0,0.0,1.0,0.265,0
0.0,0.5121833867309254,0.0,2.0,0.0,1.0,0.275,0
0.0,0.16559042505756502,0.0,1.0,0.0,0.0,0.285,0
0.0,0.190171037410883,0.0,1.0,0.0,0.0,0.295,0
0.0,0.10099211750828073,0.0,1.9072780765074353,0.0,0.0,0.305,0
0.0,0.1355864517249309,0.0,1.0,0.0,0.0,0.315,0
0.0,0.08349819027059402,0.0,1.0,0.0,0.0,0.325,0
0.0,0.11722218621158807,0.0,1.0,0.0,0.0,0.335,0
0.0,0.07217620740093356,0.0,1.0,0.0,0.0,0.345,0
0.0,0.07488365396906385,0.0,1.0,0.0,0.0,0.355,0
0.0,0.08951697937149135,0.0,1.0,0.0,0.0,0.365,0
0.0,0.12881638144026966,0.0,1.0,0.0,0.0,0.375,0
0.0,0.0760375817989272,0.0,1.0,0.0,0.0,0.385,0
0.0,0.14478241981533926,0.0,1.0,0.0,0.0,0.395,0
0.0,0.045431996140616895,0.0,1.0,0.0,0.0,0.405,0
0.0,0.050632321176302675,0.0,1.0,0.0,0.0,0.415,0
0.0,0.19132446188806218,0.0,1.0,0.0,0.0,0.425,0
0.0,0.298049407696848,0.0,2.0,0.0,0.1309316570210132,0.435,0
1.0,1.3566882518308112,0.0,4.260552405967821,0.0,3.0,0.445,0
4.0,6.150805177319623,0.0,18.82158553885686,1.0,8.773178878284698,0.455,0
9.0,12.639916137955465,0.0,34.91129959869787,4.0,17.034067388864965,0.465,0
17.0,24.48174045780771,0.0,71.45969906362835,7.0,31.51935995300755,0.475,0
25.0,40.96172959013211,1.0,116.65290976770115,13.0,59.28328957046282,0.485,0
40.0,64.40847912811452,1.1492632344701992,185.95872930310347,19.0,92.60220270151355,0.495,0
62.0,100.80509002546705,1.0,287.2906522483429,33.37845124814794,151.1023247434031,0.505,0
83.0,138.21322093608467,2.1970491331023028,411.84162217090994,41.0,190.76526207291937,0.515,0
91.0,162.27325388671682,1.0,473.98069238896704,43.38735982501381,233.29843611929067,0.525,0
105.0,182.90734255256694,2.6282222182817763,547.7323016439813,46.65480743932398,245.0,0.535,0
93.0,184.4617189217349,3.0,569.1497093158937,48.0,266.85825785762347,0.545,0
94.0,165.1665747079654,2.0,495.11962423177374,39.688821635503295,255.47489555200536,0.555,0
66.0,142.74688645627725,1.2328634440012392,465.3308823758208,27.659427319322454,214.92877174180455,0.565,0
48.0,100.72747275246422,0.0,326.25382795932967,18.441956685320086,154.0,0.575,0
35.0,66.95717556381354,0.0,213.33105840346153,12.693243299448287,112.28941270580243,0.585,0
20.0,37.94810233955051,0.0,113.72827893758792,6.741608988801588,65.0,0.595,0
11.0,20.441529586207654,0.0,61.73191847771503,4.0,31.94051018975084,0.605,0
5.0,11.046377972160936,0.0,36.49491658062848,1.0,17.0,0.615,0
2.0,3.8768457487174786,0.0,12.04877111923801,0.0,8.0,0.625,0
1.0,1.299626973535931,0.0,4.0,0.0,2.0,0.635,0
0.0,0.6833448016987546,0.0,2.0,0.0,1.4675548953162445,0.645,0
0.0,0.14872642876956876,0.0,1.0,0.0,0.0,0.655,0
0.0,0.06583227800729055,0.0,1.0,0.0,0.0,0.665,0
0.0,0.0140786212272846,0.0,0.0,0.0,0.0,0.675,0
0.0,0.0,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
0.0,0.0,0.0,0.0,0.0,0.0,0.805,0
0.0,0.0,0.0,0.0,0.0,0.0,0.815,0
0.0,0.0,0.0,0.0,0.0,0.0,0.825,0
0.0,0.0,0.0,0.0,0.0,0.0,0.835,0
0.0,0.0,0.0,0.0,0.0,0.0,0.845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.855,0
0.0,0.0,0.0,0.0,0.0,0.0,0.865,0
0.0,0.0,0.0,0.0,0.0,0.0,0.875,0
0.0,0.0,0.0,0.0,0.0,0.0,0.885,0
0.0,0.0,0.0,0.0,0.0,0.0,0.895,0
0.0,0.0,0.0,0.0,0.0,0.0,0.905,0
0.0,0.0,0.0,0.0,0.0,0.0,0.915,0
0.0,0.0,0.0,0.0,0.0,0.0,0.925,0
0.0,0.0,0.0,0.0,0.0,0.0,0.935,0
0.0,0.0,0.0,0.0,0.0,0.0,0.945,0
0.0,0.0,0.0,0.0,0.0,0.0,0.955,0
0.0,0.0,0.0,0.0,0.0,0.0,0.965,0
0.0,0.0,0.0,0.0,0.0,0.0,0.975,0
0.0,0.0,0.0,0.0,0.0,0.0,0.985,0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0
