"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
44.0,44.6430935033714,26.0,69.27955724900387,36.98781971403389,52.0,0.005,0
56.0,56.78082978235615,32.0,83.0,47.20250580996277,66.0,0.015,0
31.0,31.66408180127671,16.0,49.0,26.0,36.0,0.025,2
18.0,18.86809349257658,8.0,33.53650003058079,15.0,23.0,0.035,7
11.0,10.749494492209465,4.0,18.014704149155815,8.0,13.0,0.045,3
7.0,7.053252451930291,3.0,12.0,5.0,9.0,0.055,6
5.0,4.870035164130567,1.0,9.0,3.0,6.0,0.065,6
3.0,3.543084562253637,1.0,7.0,2.0,5.0,0.075,3
3.0,2.558844170509489,0.0,6.0,1.0,4.0,0.085,5
2.0,1.6892844017991466,0.0,4.0,1.0,2.0,0.095,1
1.0,1.2412493186104885,0.0,3.0,0.0,2.0,0.105,0
1.0,1.1912455200412944,0.0,3.762670598346297,0.0,2.0,0.115,0
1.0,1.2104047503026025,0.0,4.0,0.0,2.0,0.125,0
1.0,1.5272090210932734,0.0,4.0,1.0,2.0,0.135,0
2.0,1.9732145496462983,0.0,5.0,1.0,3.0,0.145,3
3.0,2.8313630837878883,0.0,6.0,2.0,4.0,0.155,3
3.0,3.2883295157477432,1.0,6.0,2.0,4.0,0.165,7
3.0,3.1137855759380026,0.0,7.0,2.0,4.0,0.175,2
2.0,2.527246610108092,0.0,5.64716652797503,1.0,3.0,0.185,4
2.0,1.9479746153047373,0.0,5.0,1.0,3.0,0.195,3
1.0,1.2436163784553385,0.0,3.0,0.0,2.0,0.205,0
1.0,0.7366052507888522,0.0,2.0,0.0,1.0,0.215,0
0.0,0.4575052323626838,0.0,2.0,0.0,1.0,0.225,0
0.0,0.37357541095555835,0.0,2.0,0.0,1.0,0.235,1
0.0,0.1993930615733851,0.0,1.0,0.0,0.0,0.245,0
0.0,0.15558114530394368,0.0,1.0,0.0,0.0,0.255,0
0.0,0.11436399639938563,0.0,1.0,0.0,0.0,0.265,0
0.0,0.11126499447224733,0.0,1.0,0.0,0.0,0.275,0
0.0,0.08988932242517435,0.0,1.0,0.0,0.0,0.285,0
0.0,0.08109641666363893,0.0,1.0,0.0,0.0,0.295,0
0.0,0.1092428812385088,0.0,1.0,0.0,0.0,0.305,0
0.0,0.0744457083685426,0.0,1.0,0.0,0.0,0.315,0
0.0,0.11770476406381238,0.0,1.0,0.0,0.0,0.325,0
0.0,0.07533147869779852,0.0,1.0,0.0,0.0,0.335,0
0.0,0.08153981716811112,0.0,1.0,0.0,0.0,0.345,0
0.0,0.0381640972390241,0.0,1.0,0.0,0.0,0.355,0
0.0,0.08628450403412381,0.0,1.0,0.0,0.0,0.365,0
0.0,0.054730372354678626,0.0,1.0,0.0,0.0,0.375,0
0.0,0.0587248306431468,0.0,1.0,0.0,0.0,0.385,1
0.0,0.028602837022246648,0.0,1.0,0.0,0.0,0.395,0
0.0,0.062413152964804694,0.0,1.0,0.0,0.0,0.405,0
0.0,0.06628348570265469,0.0,1.0,0.0,0.0,0.415,0
0.0,0.06722359598757184,0.0,1.0,0.0,0.0,0.425,0
0.0,0.18545511269459578,0.0,1.0,0.0,0.0,0.435,0
1.0,1.3058672584525337,0.0,5.0,0.0,2.0,0.445,0
3.0,3.9914897282777724,0.0,14.0,1.0,6.0,0.455,0
6.0,7.88015511443323,0.0,24.58921451927166,2.0,12.0,0.465,0
11.0,15.923108442070683,0.0,50.44360225365527,5.0,23.0,0.475,0
18.0,28.51284647160205,1.0,92.08212734031436,8.0,40.174540338080504,0.485,0
30.0,46.490598058549644,1.0,157.20592117988508,11.0,64.54143023263477,0.495,0
43.0,68.38733051743867,2.0,238.35662850285422,19.0,93.0,0.505,0
57.0,93.19913705680567,3.458625590989332,325.637285721432,23.0,128.70527913075057,0.515,0
65.0,112.12989896004781,2.7599569513584816,411.8937840641225,25.369247364851507,156.83260891009377,0.525,0
71.0,122.95543209870105,2.0,455.15626505111504,25.0,170.0,0.535,0
70.0,122.80123029491052,2.0,449.84297739442167,26.0,166.2993838424423,0.545,0
67.0,112.72712067863031,2.0,436.0988472111096,22.0,146.19955169923182,0.555,0
