"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
47.0,46.95323486930112,23.5646558453953,76.55905152298605,36.0,55.0,0.005,0
57.0,59.80413120611695,31.68297166111667,91.67912065871286,47.0,70.0,0.015,0
31.0,33.40270758656974,17.126649500036894,56.0,26.0,40.0,0.025,7
21.0,21.101271458810476,8.05987154546628,39.0,16.0,25.0,0.035,8
14.0,14.36330819926032,5.0,26.486681343378947,11.0,18.0,0.045,8
12.0,12.182718772556893,5.0,20.0,9.0,15.0,0.055,16
11.0,11.041750398964998,5.0,18.0,9.0,13.0,0.065,8
9.0,9.87957026723321,6.0,17.0,7.0,12.0,0.075,4
9.0,9.60364512062416,5.0,15.0,8.0,12.0,0.085,24
6.0,6.569816275318995,2.0,12.0,5.0,8.0,0.095,5
4.0,4.458146500401164,1.0,8.095296454660382,3.0,6.0,0.105,2
3.0,3.1819670859790548,0.0,6.0,2.0,5.0,0.115,5
2.0,2.149897658853406,0.0,5.0,1.0,3.0,0.125,2
1.0,1.2733694726688007,0.0,4.0,0.0,2.0,0.135,1
1.0,1.0256447699703828,0.0,4.0,0.0,2.0,0.145,0
1.0,0.7917212944172314,0.0,3.0,0.0,1.0,0.155,0
0.0,0.5309258701093412,0.0,2.0,0.0,1.0,0.165,2
0.0,0.48127293389584447,0.0,2.3379407622610318,0.0,1.0,0.175,0
0.0,0.3536583563970558,0.0,2.0,0.0,1.0,0.185,0
0.0,0.3212211288831531,0.0,2.0,0.0,1.0,0.195,0
0.0,0.3042357566655768,0.0,2.0,0.0,0.0,0.205,0
0.0,0.2782495620072207,0.0,1.2012504037348615,0.0,0.0,0.215,0
0.0,0.1693262032430986,0.0,1.0,0.0,0.0,0.225,0
0.0,0.24651865957182528,0.0,1.529872232093074,0.0,0.0,0.235,0
0.0,0.12024603684389407,0.0,1.0,0.0,0.0,0.245,0
0.0,0.07265686893320192,0.0,1.0,0.0,0.0,0.255,0
0.0,0.14175638608537489,0.0,1.0,0.0,0.0,0.265,0
0.0,0.09971552936025013,0.0,1.0,0.0,0.0,0.275,0
0.0,0.08788218079522979,0.0,1.0,0.0,0.0,0.285,0
0.0,0.07847452477153675,0.0,1.0,0.0,0.0,0.295,0
0.0,0.06700860229562167,0.0,1.0,0.0,0.0,0.305,0
0.0,0.07167271531598117,0.0,1.0,0.0,0.0,0.315,0
0.0,0.06704659871606478,0.0,1.0,0.0,0.0,0.325,0
0.0,0.07926912636894688,0.0,1.0,0.0,0.0,0.335,0
0.0,0.04697560310600753,0.0,1.0,0.0,0.0,0.345,0
0.0,0.08587714639371695,0.0,1.0,0.0,0.0,0.355,0
0.0,0.027936066080457723,0.0,1.0,0.0,0.0,0.365,0
0.0,0.03787351219502686,0.0,1.0,0.0,0.0,0.375,0
0.0,0.01411579061748211,0.0,0.0,0.0,0.0,0.385,0
0.0,0.04576662348891508,0.0,1.0,0.0,0.0,0.395,0
0.0,0.061632091476388956,0.0,1.0,0.0,0.0,0.405,0
0.0,0.07356083708320466,0.0,1.0,0.0,0.0,0.415,0
0.0,0.06891452404785128,0.0,1.0,0.0,0.0,0.425,0
0.0,0.24686783817047311,0.0,1.0,0.0,0.0,0.435,0
1.0,1.2673565657464827,0.0,4.95108609606562,0.0,2.0,0.445,0
2.0,3.5922580964633233,0.0,13.0,1.0,5.0,0.455,0
5.0,7.548518855145224,0.0,32.80482343352127,2.0,10.0,0.465,0
9.0,13.733817394268566,0.0,45.126990292382885,4.0,19.0,0.475,0
16.0,24.740634671413535,0.0,98.10230068207217,5.3608864013559225,34.0,0.485,0
26.0,40.35680526790808,0.0,149.9957079862149,10.0,56.09678430724587,0.495,0
37.0,57.31220739077713,1.0395653726845777,211.04046100513574,14.0,75.4641221876933,0.505,0
47.0,75.80896308318702,1.0,320.86178509508596,15.0,97.58094881550053,0.515,0
54.0,92.21974896977254,1.0,352.67734043253614,20.0,126.58140144634986,0.525,0
61.0,99.11355986681176,0.0,398.4602562999563,19.0,130.0,0.535,0
55.0,100.75960271321759,1.0,393.90396052348586,19.0,126.9158582007145,0.545,0
52.0,91.82293927033582,0.0,364.9338835252257,15.460428722549636,120.71102375611254,0.555,0
44.0,73.17190573080629,0.0,316.85570495275897,10.034466831951821,94.7067772007082,0.565,0
29.0,53.663423942247775,0.0,232.268263133001,6.032307457906612,70.45699533177333,0.575,0
18.0,36.56050866559537,0.0,161.31900576898053,5.0,49.572538384334095,0.585,0
9.0,20.86634115928534,0.0,87.45396798496112,2.0,29.0,0.595,0
6.0,11.970639178068396,0.0,49.68564124798261,1.0,18.0,0.605,0
3.0,6.249409317297348,0.0,29.731834267971465,0.0,8.0,0.615,0
1.0,2.217716457880406,0.0,10.0,0.0,3.0,0.625,0
0.0,0.9425805201094032,0.0,5.939658958272678,0.0,1.0,0.635,0
0.0,0.3322960672233752,0.0,2.725459664589477,0.0,0.0,0.645,0
0.0,0.1290857396345512,0.0,2.0,0.0,0.0,0.655,0
0.0,0.03478688973027693,0.0,1.0,0.0,0.0,0.665,0
0.0,0.0037229720817791765,0.0,0.0,0.0,0.0,0.675,0
0.0,0.0,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
0.0,0.0,0.0,0.0,0.0,0.0,0.805,0
0.0,0.0,0.0,0.0,0.0,0.0,0.815,0
0.0,0.0,0.0,0.0,0.0,0.0,0.825,0
0.0,0.0,0.0,0.0,0.0,0.0,0.835,0
0.0,0.0,0.0,0.0,0.0,0.0,0.845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.855,0
0.0,0.0,0.0,0.0,0.0,0.0,0.865,0
0.0,0.0,0.0,0.0,0.0,0.0,0.875,0
0.0,0.0,0.0,0.0,0.0,0.0,0.885,0
0.0,0.0,0.0,0.0,0.0,0.0,0.895,0
0.0,0.0,0.0,0.0,0.0,0.0,0.905,0
0.0,0.0,0.0,0.0,0.0,0.0,0.915,0
0.0,0.0,0.0,0.0,0.0,0.0,0.925,0
0.0,0.0,0.0,0.0,0.0,0.0,0.935,0
0.0,0.0,0.0,0.0,0.0,0.0,0.945,0
0.0,0.0,0.0,0.0,0.0,0.0,0.955,0
0.0,0.0,0.0,0.0,0.0,0.0,0.965,0
0.0,0.0,0.0,0.0,0.0,0.0,0.975,0
0.0,0.0,0.0,0.0,0.0,0.0,0.985,0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0
