"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
190.0,192.1765045121722,123.41549512582664,272.0,163.0,216.0,0.005,0
247.0,247.49947433531457,172.0,350.0,214.0,277.6230782236482,0.015,0
141.0,139.97598871040398,93.0,191.9510931355202,123.0,156.0,0.025,0
78.0,79.60693299605724,52.0,115.0,67.0,92.0,0.035,2
45.0,45.86480553608193,27.0,70.17053987019835,38.0,53.0,0.045,0
27.0,27.556630535362547,15.0,42.68023728281882,23.0,32.0,0.055,1
17.0,17.350138949717373,8.0,29.0,14.0,20.0,0.065,0
11.0,11.364774950965723,4.0,19.0,9.0,14.0,0.075,0
8.0,8.134177168134295,3.0,16.0,6.0,10.0,0.085,0
7.0,6.724157027759079,2.0,13.0,5.0,9.0,0.095,1
5.0,5.6535894424073785,1.0,12.0,4.0,8.0,0.105,0
5.0,5.301394703163969,1.0,11.0,4.0,7.0,0.115,0
4.0,4.27380270798078,0.0,10.0,2.0,6.0,0.125,0
4.0,4.318407753612718,1.0,10.0,3.0,6.0,0.135,2
4.0,4.371262176040905,0.0,11.0,2.0,6.0,0.145,2
4.0,4.796124097483812,1.0,10.0,3.0,6.0,0.155,0
5.0,5.78488771084805,1.0,12.0,4.0,8.0,0.165,0
8.0,8.152594799378582,3.0,16.0,6.0,10.0,0.175,14
12.0,11.772674680453655,4.0,23.0,8.0,14.0,0.185,25
16.0,16.588525451272524,7.0,28.0,12.0,20.0,0.195,16
21.0,21.73072262183993,12.0,33.0,18.0,26.0,0.205,20
25.0,25.796865417281044,15.0,37.0,22.0,30.0,0.215,26
28.0,27.206402002228504,17.0,38.0,23.0,31.0,0.225,37
27.0,27.011226544197445,17.0,38.0,24.0,30.0,0.235,44
24.0,23.58285604144826,13.0,36.0,20.0,28.0,0.245,31
19.0,19.30081267089288,10.0,30.0,16.0,23.0,0.255,16
14.0,14.706867506564256,6.0,25.0,11.0,18.0,0.265,12
10.0,10.409736353527894,4.0,19.0,8.0,13.0,0.275,14
8.0,8.062316658050571,3.0,15.0,6.0,10.0,0.285,11
5.0,5.437808204555478,1.0,12.0,3.0,7.0,0.295,2
4.0,4.1394091505037425,1.0,10.0,2.0,5.0,0.305,2
3.0,2.8458771899343214,0.0,7.0,1.0,4.0,0.315,0
2.0,2.338677102800097,0.0,6.0,1.0,3.0,0.325,0
1.0,1.7737693532069865,0.0,6.0,0.0,3.0,0.335,2
1.0,1.4765158738398005,0.0,5.0,0.0,2.0,0.345,0
1.0,1.0239688561754432,0.0,4.0,0.0,2.0,0.355,0
0.0,0.9402398988456132,0.0,5.0,0.0,2.0,0.365,2
0.0,0.5815828878761885,0.0,3.0,0.0,1.0,0.375,0
0.0,0.49997001642528743,0.0,3.0,0.0,1.0,0.385,0
0.0,0.44135158306213973,0.0,3.0,0.0,1.0,0.395,0
0.0,0.5806148101508184,0.0,4.0,0.0,1.0,0.405,0
0.0,0.6937356533743092,0.0,3.0,0.0,1.0,0.415,0
1.0,1.2285351388850152,0.0,5.0,0.0,2.0,0.425,0
2.0,2.6602995140089476,0.0,9.0,1.0,4.0,0.435,0
5.0,6.0949017151931955,0.0,19.0,2.0,9.0,0.445,1
10.0,13.097609797906347,0.0,38.0,5.0,18.0,0.455,1
22.0,25.49997781141066,1.0,81.0,10.0,36.0,0.465,0
40.0,45.0128484813387,2.0,129.916115817537,18.0,63.0,0.475,0
67.0,75.4354590680458,3.0,198.331987860281,30.0,110.0,0.485,0
100.0,112.48279863602653,5.0,283.8444553136896,43.0,170.0,0.495,2
133.0,158.30440165715783,4.0,402.6801160759288,60.0,243.0,0.505,0
168.0,200.76122709552337,7.0,507.0402545178619,67.0,321.7137545961735,0.515,0
189.0,228.15032598778618,5.0,571.0,68.15245556453769,368.0,0.525,0
193.0,236.91789906131143,4.0221185006806,594.4453991098717,65.17674877108723,381.71248638286266,0.535,0
182.0,228.15720413028956,4.0,586.4971061820446,61.9193316287031,369.94357225659724,0.545,0
155.0,199.60717288019995,3.0,556.5102856089985,44.0,332.0,0.555,0
120.0,157.158557061885,2.0,446.17380881105544,34.0,259.0,0.565,0
80.0,109.44187636893857,0.0,328.0698789200262,20.0,181.18444852391903,0.575,0
49.0,71.01401129621608,0.0,233.5953102249696,12.0,114.90784116951659,0.585,0
28.0,41.0178890434695,0.0,134.24563680382207,6.0,67.0,0.595,0
14.0,21.84941553721126,0.0,77.29946222711825,3.0,37.0,0.605,0
6.0,10.738825921286876,0.0,41.0,1.0,17.0,0.615,0
2.0,4.447911791581416,0.0,19.0,0.0,7.0,0.625,0
1.0,1.730120586408501,0.0,8.0,0.0,3.0,0.635,0
0.0,0.7431274296671941,0.0,4.0,0.0,1.0,0.645,0
0.0,0.22950471690083002,0.0,2.0,0.0,0.0,0.655,0
0.0,0.08169199975135669,0.0,1.0,0.0,0.0,0.665,0
0.0,0.025738661354604085,0.0,0.0,0.0,0.0,0.675,0
0.0,0.008501615631213225,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
