"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
87.0,87.42380121218349,55.0,124.54342318621097,76.0,99.0,0.005,0
113.0,113.09591447724931,72.0,158.09703729308265,98.0,126.0,0.015,0
63.0,64.10510924720863,39.0,91.0,54.47136421722551,74.0399576766061,0.025,0
35.0,36.55978188122523,21.0,55.662407648610476,30.0,43.0,0.035,0
20.0,21.37363380224323,11.0,36.0,16.0,25.0,0.045,5
12.0,12.321591781180187,5.0,20.0,9.0,15.0,0.055,1
8.0,7.670407132898516,2.0,14.0,5.0,10.0,0.065,0
5.0,4.807063300129012,1.0,10.0,3.0,6.0,0.075,2
3.0,3.404819664273221,0.0,8.0,2.0,5.0,0.085,0
3.0,2.693288484127081,0.0,7.0,1.0,4.0,0.095,0
2.0,2.1935205364734003,0.0,6.0,1.0,3.0,0.105,1
2.0,1.9135652364466438,0.0,5.0,1.0,3.0,0.115,2
1.0,1.652502143794803,0.0,5.0,1.0,2.0,0.125,0
1.0,1.6933597781866503,0.0,5.0,1.0,2.2392758811596405,0.135,0
1.0,1.6015017191799497,0.0,5.0,1.0,2.0,0.145,0
1.0,1.6567405313573265,0.0,5.0,0.0,3.0,0.155,0
2.0,1.9402688132054235,0.0,5.0,1.0,3.0,0.165,2
2.0,2.7084759297500782,0.0,6.0,1.0,4.0,0.175,4
3.0,3.5207381376389373,0.0,8.0,2.0,5.0,0.185,2
5.0,5.075413947485962,1.0,11.0,3.0,7.0,0.195,6
7.0,7.225590439665209,2.0,14.0,5.0,9.0,0.205,9
10.0,10.143931278632394,4.0,16.721374296549765,8.0,12.0,0.215,15
11.0,11.093082180404133,6.0,17.0,9.0,13.0,0.225,17
12.0,12.485956971872795,7.0,19.70901312886113,10.0,14.0,0.235,7
12.0,12.180792796505086,6.0,20.0,10.0,14.0,0.245,12
11.0,10.939252131943922,5.0,17.0,9.0,13.0,0.255,11
9.0,9.222941044335382,4.0,16.0,7.0,11.0,0.265,12
7.0,7.33851705440274,3.0,13.0,5.0,9.0,0.275,11
5.0,5.304660582285757,2.0,10.0,4.0,7.0,0.285,10
4.0,3.8740342700813333,0.0,8.0,2.0,5.0,0.295,4
2.0,2.49065121282421,0.0,6.0,1.0,3.0,0.305,1
2.0,2.107830609812003,0.0,6.0,1.0,3.0,0.315,0
1.0,1.270459795608627,0.0,4.0,0.0,2.0,0.325,0
1.0,0.9321197428862639,0.0,3.0,0.0,1.9498346625866878,0.335,2
1.0,0.8743403324826919,0.0,3.0,0.0,1.0,0.345,1
0.0,0.6490888980884747,0.0,3.0,0.0,1.0,0.355,0
0.0,0.46233909605987566,0.0,3.0,0.0,1.0,0.365,0
0.0,0.42348930910266624,0.0,2.0,0.0,1.0,0.375,0
0.0,0.29660462669949095,0.0,2.0,0.0,0.0,0.385,0
0.0,0.322865004545609,0.0,2.0,0.0,1.0,0.395,0
0.0,0.2905443340916419,0.0,2.0,0.0,0.0,0.405,0
0.0,0.4384538163681215,0.0,2.0,0.0,1.0,0.415,0
0.0,0.5978711678428892,0.0,3.0,0.0,1.0,0.425,0
1.0,1.220283620041033,0.0,4.0,0.0,2.0,0.435,0
3.0,3.4979548536022453,0.0,11.0,1.0,5.0,0.445,0
6.0,7.9059640483748925,0.0,25.0,3.0,11.0,0.455,0
12.0,16.416274350975982,1.0,46.0,6.0,24.0,0.465,0
23.0,29.525178888620513,1.0,87.80852697961821,11.0,45.0,0.475,0
38.0,51.68932020786301,1.0,146.44772088277196,19.0,81.0289169327791,0.485,0
58.0,78.54419082284602,2.0,216.15125763224876,27.0,120.0,0.495,0
82.0,114.22249467878252,3.0,329.561168080823,36.0,183.0,0.505,0
107.0,150.386413108033,3.0,464.29448705542177,46.570021008772855,242.30914601803366,0.515,0
123.0,175.34796146563872,2.0,536.6674952076984,50.0,273.58055139062674,0.525,0
124.0,184.88996528307985,2.0,582.5524971824146,49.0,295.50958420351037,0.535,0
117.0,180.57944137619123,0.0,564.4732989629648,42.773326840835665,284.6292797392166,0.545,0
100.0,161.93359482951146,1.0,528.6011252372809,37.8442374177161,252.91422374283462,0.555,0
77.0,128.89720468956165,0.0,443.72653234842153,27.55080503022775,202.0071495098308,0.565,0
53.0,93.41077415496466,0.0,329.8938068110119,18.0,145.0,0.575,0
33.0,59.92526292518641,0.0,221.78190212974533,10.0,94.0,0.585,0
20.0,36.394751139044104,0.0,139.9488674433153,5.0,58.0,0.595,0
10.0,19.19011434377355,0.0,77.0,2.479990896732493,30.0,0.605,0
5.0,9.839939944911118,0.0,38.0,1.0,15.0,0.615,0
2.0,3.895729970525264,0.0,17.0,0.0,6.0,0.625,0
1.0,1.5745476171779864,0.0,8.472784442707006,0.0,2.0,0.635,0
0.0,0.6298402744542018,0.0,3.0,0.0,1.0,0.645,0
0.0,0.17593046897488573,0.0,2.0,0.0,0.0,0.655,0
0.0,0.07859661992539416,0.0,1.0,0.0,0.0,0.665,0
0.0,0.00809435250148897,0.0,0.0,0.0,0.0,0.675,0
0.0,0.001890266421128781,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
0.0,0.0,0.0,0.0,0.0,0.0,0.805,0
0.0,0.0,0.0,0.0,0.0,0.0,0.815,0
0.0,0.0,0.0,0.0,0.0,0.0,0.825,0
0.0,0.0,0.0,0.0,0.0,0.0,0.835,0
0.0,0.0,0.0,0.0,0.0,0.0,0.845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.855,0
0.0,0.0,0.0,0.0,0.0,0.0,0.865,0
0.0,0.0,0.0,0.0,0.0,0.0,0.875,0
0.0,0.0,0.0,0.0,0.0,0.0,0.885,0
0.0,0.0,0.0,0.0,0.0,0.0,0.895,0
0.0,0.0,0.0,0.0,0.0,0.0,0.905,0
0.0,0.0,0.0,0.0,0.0,0.0,0.915,0
0.0,0.0,0.0,0.0,0.0,0.0,0.925,0
0.0,0.0,0.0,0.0,0.0,0.0,0.935,0
0.0,0.0,0.0,0.0,0.0,0.0,0.945,0
0.0,0.0,0.0,0.0,0.0,0.0,0.955,0
0.0,0.0,0.0,0.0,0.0,0.0,0.965,0
0.0,0.0,0.0,0.0,0.0,0.0,0.975,0
0.0,0.0,0.0,0.0,0.0,0.0,0.985,0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0
