"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
21.0,21.951844865277053,10.0,38.75247543883824,16.0,26.0,0.005,0
28.0,28.366079007961396,14.0,48.90406045734409,23.0,33.0,0.015,0
15.0,16.248192248464594,7.0,32.91074896127257,12.0,20.0,0.025,2
9.0,9.64314945634745,3.0,19.0,7.0,12.0,0.035,1
5.0,5.48285885454708,1.0,12.0,4.0,7.0,0.045,4
3.0,3.324785280810148,0.0,7.0,2.0,5.0,0.055,1
2.0,2.2233132067429504,0.0,6.0,1.0,3.0,0.065,0
2.0,1.8581800357305356,0.0,4.0,1.0,3.0,0.075,6
1.0,1.38170357002336,0.0,4.0,1.0,2.0,0.085,1
1.0,1.1705644403823998,0.0,3.985041149686353,0.0,2.0,0.095,2
1.0,0.9943973203097638,0.0,3.0,0.0,2.0,0.105,0
1.0,0.9109636375455875,0.0,3.0,0.0,1.0,0.115,0
1.0,1.1333003687866392,0.0,3.0,0.0,2.0,0.125,0
2.0,1.6691890865606673,0.0,4.0,1.0,2.0,0.135,0
2.0,2.3465779608142703,0.0,5.0,1.0,3.0,0.145,2
3.0,3.158323858434791,1.0,6.0,2.0,4.0,0.155,7
3.0,2.994648471176669,0.0,6.0,2.0,4.0,0.165,2
2.0,2.701226721591352,0.0,6.0,1.0,4.0,0.175,5
2.0,2.3871634254002125,0.0,5.0,1.0,3.0,0.185,2
2.0,1.6994672553636911,0.0,4.0,1.0,2.0,0.195,1
1.0,1.2644162203844462,0.0,3.0,1.0,2.0,0.205,1
1.0,0.8391448590954678,0.0,3.0,0.0,1.0,0.215,1
0.0,0.5781790550536386,0.0,2.0,0.0,1.0,0.225,1
0.0,0.39436678390995594,0.0,2.0,0.0,1.0,0.235,0
0.0,0.3223929786159664,0.0,2.0,0.0,1.0,0.245,0
0.0,0.2670367624920083,0.0,2.0,0.0,0.0,0.255,0
0.0,0.16250790207053747,0.0,1.0,0.0,0.0,0.265,0
0.0,0.13084865850841157,0.0,1.0,0.0,0.0,0.275,1
0.0,0.12243523406316685,0.0,1.0,0.0,0.0,0.285,0
0.0,0.0658726186534132,0.0,1.0,0.0,0.0,0.295,0
0.0,0.08586812267289506,0.0,1.0,0.0,0.0,0.305,0
0.0,0.08231733159253009,0.0,1.0,0.0,0.0,0.315,0
0.0,0.06202895029297331,0.0,1.0,0.0,0.0,0.325,0
0.0,0.06496434606499554,0.0,1.0,0.0,0.0,0.335,0
0.0,0.031053838867134104,0.0,1.0,0.0,0.0,0.345,0
0.0,0.02477591889152257,0.0,0.0,0.0,0.0,0.355,0
0.0,0.013174043802798931,0.0,0.0,0.0,0.0,0.365,0
0.0,0.022785510802929863,0.0,0.0,0.0,0.0,0.375,0
0.0,0.016850813972490403,0.0,0.0,0.0,0.0,0.385,0
0.0,0.014301407995704127,0.0,0.0,0.0,0.0,0.395,0
0.0,0.023444584645168638,0.0,0.0,0.0,0.0,0.405,0
0.0,0.02286913886264223,0.0,0.0,0.0,0.0,0.415,0
0.0,0.07287655029947329,0.0,1.0,0.0,0.0,0.425,0
0.0,0.13986161749612935,0.0,1.0,0.0,0.0,0.435,0
1.0,1.1597348508672738,0.0,5.0,0.0,2.0,0.445,0
2.0,3.3348972986319216,0.0,12.0,1.0,5.0,0.455,0
5.0,7.349365525747292,0.0,27.79170252183584,2.0,11.0,0.465,0
10.0,14.541428922879188,0.0,52.02914227229876,4.0,21.0,0.475,0
17.0,25.405616773990268,0.0,88.0,6.0,39.0,0.485,0
28.0,41.74389997548449,0.0,160.16379521719594,10.0,61.0,0.495,0
37.0,62.20739411500872,0.0,233.2640225487144,14.0,91.0,0.505,0
49.0,82.70913312115121,1.0,303.637475484839,16.0,117.2549689564102,0.515,0
54.0,99.27160384649515,0.0,371.40920575702023,21.51975633978228,139.8204003189565,0.525,0
56.0,107.07282542404941,0.0,444.5747796756527,21.78070120570686,152.21521004802003,0.535,0
56.0,110.88213198100655,0.0,466.2333115420788,20.445505650411032,159.0,0.545,0
49.0,101.10729587719423,0.0,418.4856671182805,17.0,142.74887308469178,0.555,0
40.0,81.97791211266653,0.0,353.03234162075455,13.0,113.07648432694704,0.565,0
29.0,61.53059134866951,0.0,282.3261220503543,8.0,85.0,0.575,0
19.0,39.30786351793449,0.0,167.19356001723935,5.0,55.0,0.585,0
10.0,24.39635595631964,0.0,109.16353045931261,3.0,35.495984936865014,0.595,0
5.0,12.835315722596121,0.0,66.03218244208915,1.0,18.0,0.605,0
3.0,6.682051113419369,0.0,28.0,0.0,9.0,0.615,0
1.0,2.662122513526557,0.0,14.222186977146736,0.0,4.0,0.625,0
0.0,1.0697499380302273,0.0,5.899926473308454,0.0,1.0,0.635,0
0.0,0.4653697235280031,0.0,4.0,0.0,1.0,0.645,0
0.0,0.1505097654923306,0.0,1.0,0.0,0.0,0.655,0
0.0,0.030277625626132502,0.0,1.0,0.0,0.0,0.665,0
0.0,0.012189527921464265,0.0,0.0,0.0,0.0,0.675,0
0.0,0.0018644088757819761,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.002028407003904247,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
0.0,0.0,0.0,0.0,0.0,0.0,0.805,0
0.0,0.0,0.0,0.0,0.0,0.0,0.815,0
0.0,0.0,0.0,0.0,0.0,0.0,0.825,0
0.0,0.0,0.0,0.0,0.0,0.0,0.835,0
0.0,0.0,0.0,0.0,0.0,0.0,0.845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.855,0
0.0,0.0,0.0,0.0,0.0,0.0,0.865,0
0.0,0.0,0.0,0.0,0.0,0.0,0.875,0
0.0,0.0,0.0,0.0,0.0,0.0,0.885,0
0.0,0.0,0.0,0.0,0.0,0.0,0.895,0
0.0,0.0,0.0,0.0,0.0,0.0,0.905,0
0.0,0.0,0.0,0.0,0.0,0.0,0.915,0
0.0,0.0,0.0,0.0,0.0,0.0,0.925,0
0.0,0.0,0.0,0.0,0.0,0.0,0.935,0
0.0,0.0,0.0,0.0,0.0,0.0,0.945,0
0.0,0.0,0.0,0.0,0.0,0.0,0.955,0
0.0,0.0,0.0,0.0,0.0,0.0,0.965,0
0.0,0.0,0.0,0.0,0.0,0.0,0.975,0
0.0,0.0,0.0,0.0,0.0,0.0,0.985,0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0
