"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
134.0,134.45209137657474,84.00307197976178,193.0,115.0,152.79418393523372,0.005,0
172.0,173.86431761820873,118.0004620631278,242.66487758515447,152.0,197.0,0.015,0
97.0,97.95625962433057,65.0,139.0,85.0,110.0,0.025,0
54.0,54.72476355588884,33.0,83.0,45.45623787274213,62.62512389209833,0.035,0
31.0,31.78835939567105,17.0,50.0,26.0,37.0,0.045,0
19.0,19.343416370853216,9.0,32.0,15.0,23.0,0.055,0
12.0,12.150185514013806,4.0,21.280293653210734,9.0,15.0,0.065,0
8.0,8.064878971114762,3.0,15.0,6.0,10.0,0.075,0
6.0,6.101602854729713,2.0,12.0,4.0,8.0,0.085,0
4.0,4.56212959461327,1.0,10.0,3.0,6.0,0.095,0
3.0,3.91172329433656,1.0,9.0,2.0,5.0,0.105,0
3.0,3.5038917156759277,0.0,8.0,2.0,5.0,0.115,0
3.0,3.207449166944182,0.0,7.0,2.0,5.0,0.125,0
3.0,3.220680119581517,0.0,8.0,2.0,5.0,0.135,0
3.0,3.546472932962921,0.0,8.0,2.0,5.0,0.145,0
4.0,4.341033976016774,1.0,10.0,3.0,6.0,0.155,0
6.0,6.0363587792903255,1.0,12.0,4.0,8.0,0.165,0
8.0,8.730338768645188,3.0,16.0,6.0,11.0,0.175,9
13.0,12.65817340521714,5.7982649265793365,22.0,10.0,15.0,0.185,16
16.0,16.357761608332407,9.0,26.0,13.0,19.0,0.195,18
20.0,19.91730912166349,12.0,30.0,17.0,23.0,0.205,45
21.0,20.979648861351073,13.0,30.328277097055736,18.0,24.0,0.215,24
19.0,19.525834088360636,11.209091794644031,29.0,16.0,22.0,0.225,25
16.0,16.477123260315267,9.0,26.0,13.0,19.0,0.235,23
13.0,13.23954704923857,6.0,22.0,10.0,16.0,0.245,15
9.0,9.747018770201608,4.0,17.0,7.0,12.0,0.255,10
6.0,6.682122296296797,2.0,13.93406684349534,4.0,8.047837495620456,0.265,4
4.0,4.492608957656633,0.0,10.0,3.0,6.0,0.275,2
3.0,3.3864250026214684,0.0,8.0,2.0,5.0,0.285,0
