"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
44.0,44.77911317092158,23.56565219103714,67.06238091278826,36.777549067026335,53.0,0.005,0
57.0,58.26961850227226,31.396795382683706,87.11365043166167,49.1426579983629,67.0,0.015,0
34.0,34.47398560926048,17.639249284205224,55.0,28.0,40.38426390472001,0.025,33
18.0,18.971340364525062,9.0,30.09918022975381,14.462537086956091,23.0,0.035,49
12.0,12.13800198919331,4.0,22.16755766963966,9.0,15.0,0.045,50
7.0,7.445467134089207,2.708708069359388,13.0,5.0,10.0,0.055,10
4.0,4.49281480376136,1.0,8.0,3.0,6.0,0.065,1
3.0,3.227892896187614,0.0,7.0,2.0,4.0,0.075,4
2.0,2.5150144324518418,0.0,5.201528654516036,1.0,4.0,0.085,0
3.0,2.7232046042341604,0.0,6.0,2.0,4.0,0.095,2
3.0,3.27011807301084,1.0,7.0,2.0,4.0,0.105,2
4.0,3.8327639598343457,0.0,8.0,3.0,5.0,0.115,6
4.0,4.145189265602975,1.0,8.0,3.0,5.0,0.125,0
5.0,4.568371626015937,2.0,8.0,4.0,5.0,0.135,14
3.0,3.262603550192815,1.0,6.0,2.0,4.0,0.145,4
2.0,2.1944526447115695,0.0,5.0,1.0,3.0,0.155,0
2.0,1.6334037357866293,0.0,4.0,1.0,2.0,0.165,2
1.0,1.1057589775781027,0.0,4.0,0.0,2.0,0.175,2
0.0,0.6354424641936913,0.0,2.0,0.0,1.0,0.185,0
0.0,0.36358280670668597,0.0,2.0,0.0,1.0,0.195,0
0.0,0.3498505532464232,0.0,2.0,0.0,1.0,0.205,0
0.0,0.16251057734937976,0.0,1.0,0.0,0.0,0.215,0
0.0,0.15071746034616693,0.0,1.0,0.0,0.0,0.225,0
0.0,0.12367851294201263,0.0,1.0,0.0,0.0,0.235,0
0.0,0.0812468255248021,0.0,1.0,0.0,0.0,0.245,0
0.0,0.09033577932430702,0.0,1.0,0.0,0.0,0.255,0
0.0,0.04244038877318288,0.0,1.0,0.0,0.0,0.265,0
0.0,0.08038111460249604,0.0,1.0,0.0,0.0,0.275,0
0.0,0.06403176406548079,0.0,1.0,0.0,0.0,0.285,0
0.0,0.08122294334318957,0.0,1.0,0.0,0.0,0.295,0
0.0,0.04044330939115312,0.0,1.0,0.0,0.0,0.305,0
0.0,0.05549555486754942,0.0,1.0,0.0,0.0,0.315,0
0.0,0.08603202883963405,0.0,1.0,0.0,0.0,0.325,0
0.0,0.05559046942379941,0.0,1.0,0.0,0.0,0.335,0
0.0,0.021460252175139024,0.0,0.0,0.0,0.0,0.345,0
0.0,0.047061752086217136,0.0,1.0,0.0,0.0,0.355,0
0.0,0.026791571621835784,0.0,0.6129653936664131,0.0,0.0,0.365,0
0.0,0.06864180611215852,0.0,1.0,0.0,0.0,0.375,0
0.0,0.023438990476770564,0.0,0.0,0.0,0.0,0.385,0
0.0,0.0331388991489445,0.0,1.0,0.0,0.0,0.395,0
0.0,0.026381483353668345,0.0,0.45938558253059736,0.0,0.0,0.405,0
0.0,0.02187728830960441,0.0,0.0,0.0,0.0,0.415,0
0.0,0.05813032104973715,0.0,1.0,0.0,0.0,0.425,0
0.0,0.061436858553018524,0.0,1.0,0.0,0.0,0.435,0
1.0,0.9276783678550478,0.0,4.0,0.0,1.0,0.445,0
2.0,2.993894820963287,0.0,10.0,1.0,4.0,0.455,1
5.0,6.855360601583361,0.0,26.687891034469878,2.0,9.0,0.465,0
10.0,13.187672361879784,0.0,51.54265220791993,4.0,18.81345096909148,0.475,1
16.0,23.39236065185377,0.0,80.21478577747772,7.0,34.178200599990234,0.485,1
24.0,36.95478788351066,0.0,135.19850686746514,10.0,54.0,0.495,0
36.0,53.90657656773209,0.0,194.65395534634143,14.0,77.28276114012046,0.505,0
46.0,73.02670393901057,0.0,272.55918922850515,18.0,107.29535667776712,0.515,0
54.0,87.39054534674682,0.2930756805207312,340.6419047571001,18.0,129.2718931592422,0.525,0
58.0,95.65017815246205,0.0,386.17604636467496,21.0,137.0,0.535,0
53.0,94.72924983412125,0.0,392.335739325335,18.0,134.85235971772536,0.545,0
49.0,86.42682087481836,0.0,351.34646668160536,16.10834944317984,123.9822505878994,0.555,0
39.0,72.18200138758694,0.0,313.93329828182436,11.0,105.0,0.565,0
29.0,52.434735886999945,0.0,222.8974102683197,8.0,72.0,0.575,0
19.0,35.438513519868295,0.0,146.55181369705494,5.0,50.0,0.585,0
10.0,21.236628863025548,0.0,97.89161315387457,2.0,29.0,0.595,0
6.0,11.736672758131458,0.0,54.09602501554848,1.0,17.0,0.605,0
3.0,5.795004479576974,0.0,26.0,0.0,8.0,0.615,0
1.0,2.4019141244179383,0.0,14.0,0.0,3.0,0.625,0
0.0,0.9950319767054071,0.0,6.0,0.0,1.0,0.635,0
0.0,0.4453287165349651,0.0,3.0,0.0,1.0,0.645,0
0.0,0.11077586780213321,0.0,1.0,0.0,0.0,0.655,0
0.0,0.06816357186650705,0.0,1.0,0.0,0.0,0.665,0
0.0,0.003830556392666226,0.0,0.0,0.0,0.0,0.675,0
0.0,0.0,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
0.0,0.0,0.0,0.0,0.0,0.0,0.805,0
0.0,0.0,0.0,0.0,0.0,0.0,0.815,0
0.0,0.0,0.0,0.0,0.0,0.0,0.825,0
0.0,0.0,0.0,0.0,0.0,0.0,0.835,0
0.0,0.0,0.0,0.0,0.0,0.0,0.845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.855,0
0.0,0.0,0.0,0.0,0.0,0.0,0.865,0
0.0,0.0,0.0,0.0,0.0,0.0,0.875,0
0.0,0.0,0.0,0.0,0.0,0.0,0.885,0
0.0,0.0,0.0,0.0,0.0,0.0,0.895,0
0.0,0.0,0.0,0.0,0.0,0.0,0.905,0
0.0,0.0,0.0,0.0,0.0,0.0,0.915,0
0.0,0.0,0.0,0.0,0.0,0.0,0.925,0
0.0,0.0,0.0,0.0,0.0,0.0,0.935,0
0.0,0.0,0.0,0.0,0.0,0.0,0.945,0
0.0,0.0,0.0,0.0,0.0,0.0,0.955,0
0.0,0.0,0.0,0.0,0.0,0.0,0.965,0
0.0,0.0,0.0,0.0,0.0,0.0,0.975,0
0.0,0.0,0.0,0.0,0.0,0.0,0.985,0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0
