"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
62.0,63.39529993319355,37.0,97.0,52.0,73.0,0.005,0
80.0,82.18910749640177,50.0,126.0,70.0,93.0,0.015,0
45.0,46.603505210677504,25.67726425841671,83.55849009467694,38.0,53.0,0.025,1
26.0,26.324567715438423,13.0,43.792018530989424,21.0,31.0,0.035,1
15.0,14.989803792565217,6.0,26.0,11.0,18.0,0.045,0
9.0,8.989256130132299,3.0,16.0,6.0,11.0,0.055,2
6.0,5.862058431273778,2.0,11.530528017844498,4.0,7.0,0.065,1
4.0,4.289759943562257,1.0,9.0,3.0,5.0,0.075,0
3.0,3.109148041520007,0.0,7.0,2.0,4.0,0.085,1
2.0,2.522144750246226,0.0,6.0,1.0,3.0,0.095,0
2.0,2.1378985525573904,0.0,6.0,1.0,3.0,0.105,1
2.0,2.0283947182774758,0.0,6.0,1.0,3.0,0.115,1
2.0,2.01600554261977,0.0,5.0,1.0,3.0,0.125,0
2.0,2.2874220364828224,0.0,6.0,1.0,3.0,0.135,3
3.0,3.03499106443823,0.0,7.0,2.0,4.0,0.145,3
4.0,4.291435036833366,1.0,9.0,2.0,6.0,0.155,0
5.0,5.631739278845841,1.0,11.0,4.0,7.0,0.165,6
7.0,7.246317905138177,2.0,13.0,5.0,9.0,0.175,8
8.0,8.220520080513209,3.0,14.0,6.0,10.0,0.185,18
9.0,8.938275354788672,4.0,16.0,7.0,11.0,0.195,10
8.0,7.671711289559242,3.0,13.0,6.0,10.0,0.205,8
6.0,6.3244384540100205,2.0,11.0,5.0,8.0,0.215,9
5.0,4.680514702486021,1.0,9.0,3.0,6.0,0.225,13
3.0,3.525643919983559,0.0,8.0,2.0,5.0,0.235,0
3.0,2.7745208546544515,0.0,6.0,1.0,4.0,0.245,2
1.0,1.534146635376128,0.0,5.0,1.0,2.0,0.255,1
1.0,1.292195552416339,0.0,4.0,0.0,2.0,0.265,0
1.0,0.9693207987777843,0.0,3.0,0.0,2.0,0.275,0
0.0,0.7220113506616783,0.0,3.0,0.0,1.0,0.285,0
0.0,0.5719057655255853,0.0,3.0,0.0,1.0,0.295,0
0.0,0.40868819688289165,0.0,2.0,0.0,1.0,0.305,0
0.0,0.33609314481337654,0.0,2.0,0.0,1.0,0.315,0
0.0,0.3029882031414472,0.0,2.0,0.0,1.0,0.325,0
0.0,0.21476954250798452,0.0,1.0,0.0,0.0,0.335,0
0.0,0.21568766092943598,0.0,2.0,0.0,0.0,0.345,0
0.0,0.1459350482534182,0.0,1.0,0.0,0.0,0.355,0
0.0,0.14161793511479462,0.0,1.0,0.0,0.0,0.365,0
0.0,0.10956152055110857,0.0,1.0,0.0,0.0,0.375,0
0.0,0.07979437514607848,0.0,1.0,0.0,0.0,0.385,0
0.0,0.07613411817451488,0.0,1.0,0.0,0.0,0.395,0
0.0,0.07687289653618205,0.0,1.0,0.0,0.0,0.405,0
0.0,0.20369238857793956,0.0,2.0,0.0,0.0,0.415,0
0.0,0.38306802164579773,0.0,2.0,0.0,1.0,0.425,0
1.0,0.8936035682066502,0.0,3.0,0.0,2.0,0.435,0
2.0,2.5844971487111543,0.0,9.0,1.0,4.0,0.445,0
5.0,6.509955646899146,0.0,20.0,2.0,10.0,0.455,0
10.0,13.311399928728461,0.0,43.0,5.0,19.0,0.465,0
20.0,25.626231032604057,0.0,80.16908873035952,8.0,40.0,0.475,0
32.0,43.48122964321199,1.0,128.57468869899145,12.0,68.0,0.485,0
50.0,67.88815127913693,1.0,201.90855885219037,18.0,106.0,0.495,0
70.0,100.94248740307376,3.0,293.0,24.0,158.0,0.505,0
86.0,133.07445725211264,3.0,410.17337086098337,30.0,206.6772488967114,0.515,0
100.0,157.98551545620995,1.0,481.24149494597805,30.334668567529594,248.0,0.525,0
107.0,170.34994825265812,2.0,542.5063847947412,29.0,268.0,0.535,0
106.0,170.79382440349437,0.0,596.3804813945329,29.0,262.7795411184737,0.545,0
91.0,152.01900882649633,0.0,526.0853363190178,22.59780194100733,240.0,0.555,0
71.0,123.67053797113292,0.0,449.1538521707753,17.0,193.3561637637585,0.565,0
48.0,89.96286347340717,0.0,370.690112808929,11.0,141.77062844218744,0.575,0
32.0,60.00723355507451,0.0,239.1599507409858,7.0,93.09959070693616,0.585,0
18.0,36.14499684974191,0.0,145.40074886702763,3.0,54.57126025460869,0.595,0
9.0,19.728645123599883,0.0,90.59827261640409,2.0,29.0,0.605,0
5.0,9.790285149601583,0.0,42.036134002065175,1.0,14.0,0.615,0
1.0,3.9013861384468336,0.0,17.0,0.0,6.0,0.625,0
0.0,1.6777341067849068,0.0,10.259624697089905,0.0,2.0,0.635,0
0.0,0.5418999542649365,0.0,3.0,0.0,1.0,0.645,0
0.0,0.19698477581982526,0.0,2.0,0.0,0.0,0.655,0
0.0,0.07421499993295005,0.0,1.0,0.0,0.0,0.665,0
0.0,0.0219436094963966,0.0,0.0,0.0,0.0,0.675,0
0.0,0.0018425575744139898,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0012462958694231833,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
