"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
71.0,72.44033272605118,40.0,119.64554254930036,57.700349784446374,85.0,0.005,0
88.0,90.59348619217293,57.0,130.72503522476495,75.06437415002014,107.0,0.015,0
51.0,51.87302259027501,29.0,83.0,42.14951190131766,59.0,0.025,10
28.0,28.566555749743213,14.560500971477856,43.0,22.955690462741305,34.0,0.035,34
16.0,16.720714672388215,7.923252972436098,28.008326053025193,12.0,21.0,0.045,22
9.0,9.43884508467123,3.0,18.01361558433957,7.0,11.0,0.055,10
6.0,6.038712259078971,1.0,11.0,4.0,7.0,0.065,1
5.0,5.028042813060388,1.0,10.0,3.0,7.0,0.075,2
4.0,4.724983018830891,1.0,10.0,3.0,6.0,0.085,5
4.0,4.869651882752387,1.0,10.220736153830652,3.0,6.0,0.095,5
6.0,6.049698491482187,2.0,11.004468902370611,4.0,7.0,0.105,7
5.0,6.0503085208083345,2.0,11.0,4.0,8.0,0.115,9
6.0,6.021807277838563,2.0,10.0,4.0,8.0,0.125,6
6.0,6.399574882957545,3.0,10.0,5.0,8.0,0.135,8
5.0,5.109889021530082,2.0,9.0,4.0,6.0,0.145,8
4.0,4.332830830748991,0.5636210279154391,9.0,3.0,6.0,0.155,3
2.0,2.432554506808503,0.0,6.0,1.0,3.0,0.165,1
2.0,2.126024921782405,0.0,5.0,1.0,3.0,0.175,1
1.0,1.5417370265271892,0.0,5.0,1.0,2.0,0.185,0
1.0,1.1212699350987716,0.0,3.0,0.0,2.0,0.195,0
1.0,1.037374454936242,0.0,3.1602819763150403,0.0,2.0,0.205,0
1.0,1.1116905372335548,0.0,4.0,0.0,2.0,0.215,0
1.0,1.1602041190374401,0.0,4.0,1.0,2.0,0.225,2
1.0,1.3275765993395447,0.0,4.0,0.0,2.0,0.235,3
1.0,1.3972686729614319,0.0,4.0,0.0,2.0,0.245,0
1.0,1.606968521904473,0.0,4.0,1.0,2.0,0.255,3
1.0,1.4475375470788725,0.0,4.0,1.0,2.0,0.265,0
1.0,1.6552501119128518,0.0,5.0,1.0,2.0,0.275,2
1.0,1.521678452765985,0.0,4.0,1.0,2.0,0.285,0
2.0,1.7354806583944775,0.0,4.0,1.0,2.0,0.295,3
1.0,1.3945113170796117,0.0,4.0,1.0,2.0,0.305,4
1.0,1.1521693422581305,0.0,3.0,0.0,2.0,0.315,6
1.0,1.1371860734268908,0.0,4.0,0.0,2.0,0.325,1
0.0,0.7137559910209221,0.0,3.0,0.0,1.0,0.335,1
0.0,0.6641195299399637,0.0,2.0,0.0,1.0,0.345,0
0.0,0.45604167186528266,0.0,2.0,0.0,1.0,0.355,0
0.0,0.3877372983467869,0.0,2.0,0.0,1.0,0.365,0
0.0,0.2407964453833786,0.0,2.0,0.0,0.0,0.375,0
0.0,0.1646401388256925,0.0,2.0,0.0,0.0,0.385,0
0.0,0.1271222545131487,0.0,1.0,0.0,0.0,0.395,0
0.0,0.08595011941785168,0.0,1.0,0.0,0.0,0.405,0
0.0,0.24560450008946694,0.0,2.0,0.0,0.0,0.415,0
0.0,0.5109669801523621,0.0,2.0,0.0,1.0,0.425,0
1.0,1.1188826635693727,0.0,4.0,0.0,2.0,0.435,0
3.0,3.209450917985326,0.0,11.540137422494475,1.0,4.0,0.445,0
6.0,7.342179213415196,0.0,18.0,3.0,11.0,0.455,0
13.0,15.163138864935593,1.0,36.893600056556394,7.0,22.25180960725912,0.465,0
22.0,27.93371673344173,2.0,73.24954255000162,13.0,42.149329254793784,0.475,0
37.0,47.80848393128993,2.0,139.12111167501382,20.92775745663214,69.69671251084364,0.485,0
59.0,72.72292021379494,3.0,192.7403203506493,29.12891748861575,108.25009669970675,0.495,0
79.0,107.26506262143404,7.211684377892369,300.08928027147044,34.8673740930688,148.97660760334412,0.505,0
106.0,140.5077648077323,4.466425754914207,400.68080016966917,38.399788515396914,195.0,0.515,0
113.0,164.95323714762574,6.993408259855882,513.3538082285405,44.763694740126724,234.80776303500798,0.525,0
114.0,176.21138918639852,7.009182519353306,545.1783576082939,45.93914537413404,264.0,0.535,0
117.0,171.8809940654529,6.5320406553307855,548.68265146412,38.82729844146377,261.77485829880345,0.545,0
99.0,154.81691898405077,2.8249867801708097,517.9525737756082,32.0,242.86765023042426,0.555,0
70.0,122.71314232783132,3.0,394.98855757443783,19.477111064467138,202.03343610363257,0.565,0
48.0,88.06091955886377,1.0,308.1448622442505,13.424805200792973,138.31073992892075,0.575,0
31.0,57.859490445788644,0.0,231.7566856462307,7.990368663538261,88.0,0.585,0
17.0,34.634889031628575,0.0,132.44470128323428,3.0,56.08414843027568,0.595,0
8.0,18.59000638662315,0.0,77.05818444973168,2.0,32.0,0.605,0
4.0,8.849327997824904,0.0,35.27617346316934,1.0,14.0,0.615,0
2.0,3.8728471343350273,0.0,17.595129739640583,0.0,6.0,0.625,0
1.0,1.672945670201717,0.0,9.0,0.0,2.0,0.635,0
0.0,0.4505479462532398,0.0,3.0,0.0,1.0,0.645,0
0.0,0.13159199592769008,0.0,1.0,0.0,0.0,0.655,0
0.0,0.059894168720537,0.0,1.0,0.0,0.0,0.665,0
0.0,0.022061931669911553,0.0,0.0,0.0,0.0,0.675,0
0.0,0.0,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
0.0,0.0,0.0,0.0,0.0,0.0,0.805,0
0.0,0.0,0.0,0.0,0.0,0.0,0.815,0
0.0,0.0,0.0,0.0,0.0,0.0,0.825,0
0.0,0.0,0.0,0.0,0.0,0.0,0.835,0
0.0,0.0,0.0,0.0,0.0,0.0,0.845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.855,0
