"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
225.0,226.19349358346952,143.22021429842496,316.0,191.0,254.3326334934191,0.005,0
292.0,290.8392015739539,188.94855397500024,409.74144706944645,251.0,328.55603251459445,0.015,0
162.0,163.96259406400836,105.0,233.0,141.0,185.0,0.025,15
92.0,93.74304050770729,55.526008671784666,137.0,79.0,108.0,0.035,69
57.0,57.12490251965433,33.0,89.0,47.0,65.0,0.045,91
39.0,39.3975085985236,23.0,63.08930147117562,31.0,46.0,0.055,45
30.0,30.494418616566506,18.0,48.0,25.0,35.0,0.065,32
26.0,26.6440811172094,14.0,43.0,22.0,31.0,0.075,25
26.0,26.75755396038689,14.0,42.0,22.0,31.0,0.085,33
30.0,30.974010809372036,17.0,48.0,25.0,36.0,0.095,34
35.0,35.900650143883745,22.7490417082478,51.0,31.0,40.77550175636567,0.105,25
38.0,38.247108959770735,25.078702968210145,52.0,33.0,43.0,0.115,32
35.0,35.04852386288685,24.0,47.0,31.0,40.0,0.125,50
30.0,30.254975351168014,19.133811754366395,44.0,26.0,34.0,0.135,30
23.0,23.495037010142056,14.0,35.0,19.0,27.0,0.145,38
16.0,16.724452634590637,9.0,27.0,14.0,20.0,0.155,10
11.0,11.200298710144967,5.0,19.061818133225124,9.0,14.0,0.165,21
8.0,7.62200335565337,2.0,14.0,5.0,10.0,0.175,15
5.0,5.494312964001736,1.0,11.0,4.0,7.0,0.185,6
4.0,3.9678439644170607,0.0,9.0,2.0,5.0,0.195,0
3.0,2.876304235853089,0.0,7.0,2.0,4.0,0.205,0
2.0,2.244808297991649,0.0,7.0,1.0,3.0,0.215,0
1.0,1.6175773143562744,0.0,5.0,1.0,2.0,0.225,0
1.0,1.3150927436245112,0.0,5.0,0.0,2.0,0.235,0
1.0,1.010286535095347,0.0,4.0,0.0,2.0,0.245,0
0.0,0.9738680540103587,0.0,4.0,0.0,2.0,0.255,0
0.0,0.8760662571966562,0.0,4.0,0.0,1.0,0.265,0
0.0,0.8027563766256216,0.0,4.0,0.0,1.0,0.275,0
0.0,0.761978875440832,0.0,3.0,0.0,1.0,0.285,0
