"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
518.0,518.0,518.0,518.0,518.0,518.0,0.005,0
568.0,568.0,568.0,568.0,568.0,568.0,0.015,0
238.0,238.0,238.0,238.0,238.0,238.0,0.025,0
132.0,132.0,132.0,132.0,132.0,132.0,0.035,1
77.0,77.0,77.0,77.0,77.0,77.0,0.045,0
35.0,35.0,35.0,35.0,35.0,35.0,0.055,0
22.0,22.0,22.0,22.0,22.0,22.0,0.065,2
32.0,32.0,32.0,32.0,32.0,32.0,0.075,1
21.0,21.000000000000004,21.0,21.0,21.0,21.0,0.085,1
49.0,49.0,49.0,49.0,49.0,49.0,0.095,29
28.0,28.0,28.0,28.0,28.0,28.0,0.105,38
38.0,38.0,38.0,38.0,38.0,38.0,0.115,59
38.0,38.0,38.0,38.0,38.0,38.0,0.125,75
40.0,40.0,40.0,40.0,40.0,40.0,0.135,55
40.0,40.0,40.0,40.0,40.0,40.0,0.145,49
35.0,35.0,35.0,35.0,35.0,35.0,0.155,39
28.0,28.0,28.0,28.0,28.0,28.0,0.165,26
17.0,17.0,17.0,17.0,17.0,17.0,0.175,13
12.0,12.0,12.0,12.0,12.0,12.0,0.185,5
11.0,11.0,11.0,11.0,11.0,11.0,0.195,4
4.0,4.0,4.0,4.0,4.0,4.0,0.205,4
3.0,3.0,3.0,3.0,3.0,3.0,0.215,1
4.0,4.0,4.0,4.0,4.0,4.0,0.225,0
2.0,2.0,2.0,2.0,2.0,2.0,0.235,0
1.0,1.0,1.0,1.0,1.0,1.0,0.245,0
0.0,0.0,0.0,0.0,0.0,0.0,0.255,0
0.0,0.0,0.0,0.0,0.0,0.0,0.265,0
3.0,3.0,3.0,3.0,3.0,3.0,0.275,0
1.0,1.0,1.0,1.0,1.0,1.0,0.285,0
1.0,1.0,1.0,1.0,1.0,1.0,0.295,0
3.0,3.0,3.0,3.0,3.0,3.0,0.305,0
2.0,2.0,2.0,2.0,2.0,2.0,0.315,0
3.0,3.0,3.0,3.0,3.0,3.0,0.325,0
1.0,1.0,1.0,1.0,1.0,1.0,0.335,0
2.0,2.0,2.0,2.0,2.0,2.0,0.345,0
1.0,1.0,1.0,1.0,1.0,1.0,0.355,0
0.0,0.0,0.0,0.0,0.0,0.0,0.365,0
0.0,0.0,0.0,0.0,0.0,0.0,0.375,0
0.0,0.0,0.0,0.0,0.0,0.0,0.385,0
0.0,0.0,0.0,0.0,0.0,0.0,0.395,0
0.0,0.0,0.0,0.0,0.0,0.0,0.405,0
0.0,0.0,0.0,0.0,0.0,0.0,0.415,0
0.0,0.0,0.0,0.0,0.0,0.0,0.425,0
1.0,1.0,1.0,1.0,1.0,1.0,0.435,0
1.0,1.0,1.0,1.0,1.0,1.0,0.445,0
10.0,10.0,10.0,10.0,10.0,10.0,0.455,0
18.0,18.0,18.0,18.0,18.0,18.0,0.465,0
35.0,35.0,35.0,35.0,35.0,35.0,0.475,0
80.0,80.0,80.0,80.0,80.0,80.0,0.485,0
91.0,91.0,91.0,91.0,91.0,91.0,0.495,0
148.0,148.0,148.0,148.0,148.0,148.0,0.505,0
184.0,184.0,184.0,184.0,184.0,184.0,0.515,0
208.0,208.0,208.0,208.0,208.0,208.0,0.525,0
182.0,182.0,182.0,182.0,182.0,182.0,0.535,0
200.0,199.99999999999997,200.0,200.0,200.0,200.0,0.545,0
143.0,143.0,143.0,143.0,143.0,143.0,0.555,0
127.0,127.0,127.0,127.0,127.0,127.0,0.565,0
86.0,86.0,86.0,86.0,86.0,86.0,0.575,0
47.0,47.0,47.0,47.0,47.0,47.0,0.585,0
32.0,32.0,32.0,32.0,32.0,32.0,0.595,0
15.0,15.000000000000002,15.0,15.0,15.0,15.0,0.605,0
8.0,8.0,8.0,8.0,8.0,8.0,0.615,0
4.0,4.0,4.0,4.0,4.0,4.0,0.625,0
1.0,1.0,1.0,1.0,1.0,1.0,0.635,0
0.0,0.0,0.0,0.0,0.0,0.0,0.645,0
0.0,0.0,0.0,0.0,0.0,0.0,0.655,0
0.0,0.0,0.0,0.0,0.0,0.0,0.665,0
0.0,0.0,0.0,0.0,0.0,0.0,0.675,0
0.0,0.0,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
0.0,0.0,0.0,0.0,0.0,0.0,0.805,0
0.0,0.0,0.0,0.0,0.0,0.0,0.815,0
0.0,0.0,0.0,0.0,0.0,0.0,0.825,0
0.0,0.0,0.0,0.0,0.0,0.0,0.835,0
0.0,0.0,0.0,0.0,0.0,0.0,0.845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.855,0
0.0,0.0,0.0,0.0,0.0,0.0,0.865,0
0.0,0.0,0.0,0.0,0.0,0.0,0.875,0
0.0,0.0,0.0,0.0,0.0,0.0,0.885,0
0.0,0.0,0.0,0.0,0.0,0.0,0.895,0
0.0,0.0,0.0,0.0,0.0,0.0,0.905,0
0.0,0.0,0.0,0.0,0.0,0.0,0.915,0
0.0,0.0,0.0,0.0,0.0,0.0,0.925,0
0.0,0.0,0.0,0.0,0.0,0.0,0.935,0
0.0,0.0,0.0,0.0,0.0,0.0,0.945,0
0.0,0.0,0.0,0.0,0.0,0.0,0.955,0
0.0,0.0,0.0,0.0,0.0,0.0,0.965,0
0.0,0.0,0.0,0.0,0.0,0.0,0.975,0
0.0,0.0,0.0,0.0,0.0,0.0,0.985,0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0
