"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
24.0,24.26195726443686,10.46273792161537,39.0,20.0,29.0,0.005,0
31.0,32.12811194405966,13.313014466439697,52.0,25.0,40.0,0.015,0
18.0,17.91593409828342,7.0,31.0,14.0,22.0,0.025,0
11.0,10.969049378954017,4.43701873631181,18.581155606223533,8.0,13.0,0.035,0
6.0,6.279272587031268,1.0,13.0,4.0,8.0,0.045,1
2.0,2.4412889748419384,0.0,6.0,1.0,4.0,0.055,1
1.0,1.2997699634950948,0.0,4.0,1.0,2.0,0.065,0
1.0,0.9395513117973335,0.0,3.0,0.0,1.0,0.075,0
1.0,0.6949627914220431,0.0,3.0,0.0,1.0,0.085,0
0.0,0.661794751683962,0.0,3.0,0.0,1.0,0.095,0
1.0,0.6660359961877927,0.0,2.2912236662437127,0.0,1.0,0.105,0
1.0,0.7023416457739398,0.0,2.0,0.0,1.0,0.115,0
1.0,1.019946244044167,0.0,3.0,0.0,2.0,0.125,2
1.0,1.296831505541306,0.0,3.858628023187932,1.0,2.0,0.135,0
2.0,1.8106949843306008,0.0,4.0,1.0,2.0,0.145,0
2.0,1.996724402133924,0.0,4.388276554078924,1.0,3.0,0.155,6
2.0,2.3477151878498805,0.0,4.997423567350835,2.0,3.0,0.165,5
2.0,1.7904283148442803,0.0,4.893217628990599,1.0,2.0,0.175,1
1.0,1.3942206178511725,0.0,3.82849999595215,1.0,2.0,0.185,1
1.0,1.0593672122333304,0.0,3.0,0.0,2.0,0.195,0
1.0,0.9817015966286651,0.0,3.0,0.0,2.0,0.205,3
1.0,0.7886275248111886,0.0,3.0,0.0,1.0,0.215,1
0.0,0.6251198417319422,0.0,2.0,0.0,1.0,0.225,0
0.0,0.39146271722769904,0.0,2.0,0.0,1.0,0.235,0
0.0,0.2873810870709428,0.0,2.0,0.0,0.0,0.245,1
0.0,0.12118605479073266,0.0,1.0,0.0,0.0,0.255,0
0.0,0.1437660999956168,0.0,1.0,0.0,0.0,0.265,0
0.0,0.14303990388597107,0.0,1.0,0.0,0.0,0.275,0
0.0,0.17179451016483915,0.0,1.0,0.0,0.0,0.285,0
0.0,0.06491583241284254,0.0,1.0,0.0,0.0,0.295,0
0.0,0.06583187225112383,0.0,1.0,0.0,0.0,0.305,0
0.0,0.0940290195368178,0.0,1.0,0.0,0.0,0.315,0
0.0,0.04153038000964073,0.0,1.0,0.0,0.0,0.325,0
0.0,0.058263944036451194,0.0,1.0,0.0,0.0,0.335,0
0.0,0.020567316031583238,0.0,0.0,0.0,0.0,0.345,0
0.0,0.033982510832284575,0.0,1.0,0.0,0.0,0.355,0
0.0,0.00926910198321252,0.0,0.0,0.0,0.0,0.365,0
0.0,0.017736370497079407,0.0,0.0,0.0,0.0,0.375,0
0.0,0.007800637557430013,0.0,0.0,0.0,0.0,0.385,0
0.0,0.006980196706090209,0.0,0.0,0.0,0.0,0.395,0
0.0,0.02364568444945331,0.0,0.0,0.0,0.0,0.405,0
0.0,0.017245385093286967,0.0,0.0,0.0,0.0,0.415,0
0.0,0.07204401445105328,0.0,1.0,0.0,0.0,0.425,0
0.0,0.11230907959910917,0.0,1.0,0.0,0.0,0.435,0
1.0,1.0116850846602023,0.0,5.0,0.0,1.0,0.445,0
2.0,2.5926243588087936,0.0,7.696866497774492,1.0,4.0,0.455,0
3.0,5.062600065071105,0.0,19.0,1.0,8.0,0.465,0
7.0,10.100751473255135,0.0,38.007965394414086,3.0,14.269970540145083,0.475,0
13.0,16.974575143273224,0.0,52.385833817249946,5.0,25.0,0.485,0
19.0,27.059438132940098,1.0,84.10978098939026,6.0,42.0,0.495,0
28.0,40.26331374608456,1.0,118.2448960532556,9.0,64.0,0.505,0
38.0,54.12741384326289,1.0,177.01252985839312,11.0,83.83429764026737,0.515,0
37.0,63.96790698954232,0.0,209.1402815072739,10.922289110697719,109.06320007131983,0.525,0
48.0,70.11372228995826,1.0,239.94520859979662,10.962364685493313,117.7702947329248,0.535,0
42.0,69.07398328830848,1.0,239.0,8.845187012927704,122.0,0.545,0
37.0,63.33161092436812,0.18634804590134352,223.72008931636796,9.0,106.50924266535147,0.555,0
29.0,52.21415211479824,0.010254916096397821,188.8249384616979,7.0,89.0,0.565,0
21.0,39.13577903064494,0.0,159.38870472113618,3.0,61.725293962112055,0.575,0
13.0,25.25632325912705,0.0,103.9805899839372,2.0,42.02170527168465,0.585,0
8.0,15.39402660558245,0.0,62.13133073394089,1.0,24.04411538384375,0.595,0
5.0,8.507788107780657,0.0,32.65857928277718,0.0,14.755197975096298,0.605,0
1.0,3.9478939213341997,0.0,15.919577984729584,0.0,7.0,0.615,0
1.0,1.78176522075377,0.0,7.928484818578017,0.0,3.0,0.625,0
0.0,0.8016769261851108,0.0,4.586562327258595,0.0,1.0,0.635,0
