"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
49.0,51.096772422563355,28.0,85.6261474202836,40.0,60.0,0.005,0
63.0,66.3929632854651,35.43407546477523,112.64547364324011,53.0,75.0,0.015,0
37.0,38.50710386702141,18.514262461597887,65.11375917397856,30.911501199091767,44.0,0.025,0
24.0,24.803088872880096,10.0,44.91853272430947,19.0,30.0,0.035,15
18.0,18.918635510710406,8.0,37.44839778398237,14.0,23.0,0.045,16
18.0,18.595931633057248,9.530100713534521,31.0,15.0,22.0,0.055,39
14.0,14.794794205153435,9.0,23.0,12.0,17.0,0.065,25
11.0,11.270139057517065,6.0,19.942246019803516,9.0,13.0,0.075,17
7.0,7.269528115702186,3.0,13.234644843077202,5.0,9.0,0.085,6
5.0,4.812694527544157,1.0,11.131106351891523,3.0,7.0,0.095,5
3.0,3.219796865391878,0.0,7.0,2.0,4.0,0.105,3
2.0,1.9973610699126931,0.0,5.0,1.0,3.0,0.115,1
1.0,1.2827937372629268,0.0,4.0,0.0,2.0,0.125,0
1.0,0.9708240116714526,0.0,3.0,0.0,1.0,0.135,0
1.0,0.8478614756033779,0.0,3.0,0.0,1.0,0.145,0
0.0,0.6536075844841552,0.0,3.0,0.0,1.0,0.155,0
0.0,0.5503477036380393,0.0,2.0,0.0,1.0,0.165,0
0.0,0.5880537414438362,0.0,2.0,0.0,1.0,0.175,0
0.0,0.41983469236884624,0.0,2.0,0.0,1.0,0.185,0
0.0,0.3854091744464233,0.0,2.0,0.0,1.0,0.195,0
0.0,0.30046175973377576,0.0,2.0,0.0,1.0,0.205,0
0.0,0.2792010724775093,0.0,1.0,0.0,1.0,0.215,0
0.0,0.20370813570891705,0.0,1.0,0.0,0.0,0.225,0
0.0,0.3044014878542799,0.0,2.0,0.0,0.8496898524395321,0.235,0
0.0,0.1401508106291637,0.0,1.0,0.0,0.0,0.245,0
0.0,0.1053425901178096,0.0,1.0,0.0,0.0,0.255,0
0.0,0.1355362513865678,0.0,1.0,0.0,0.0,0.265,0
0.0,0.09785354634861129,0.0,1.0,0.0,0.0,0.275,0
0.0,0.13002293891906572,0.0,1.0,0.0,0.0,0.285,0
0.0,0.10272119375263644,0.0,1.0,0.0,0.0,0.295,0
0.0,0.1152794834310109,0.0,1.0,0.0,0.0,0.305,0
0.0,0.09900378576286702,0.0,1.0,0.0,0.0,0.315,0
0.0,0.12201990836708919,0.0,1.0,0.0,0.0,0.325,0
0.0,0.08436474387564373,0.0,1.0,0.0,0.0,0.335,0
0.0,0.08877784302717442,0.0,1.0,0.0,0.0,0.345,0
0.0,0.046826680166555244,0.0,1.0,0.0,0.0,0.355,0
0.0,0.03797562104469561,0.0,1.0,0.0,0.0,0.365,0
0.0,0.10563082728305176,0.0,1.0,0.0,0.0,0.375,0
0.0,0.05147236363950422,0.0,1.0,0.0,0.0,0.385,0
0.0,0.10341017270537779,0.0,1.0,0.0,0.0,0.395,0
0.0,0.07172265184928882,0.0,1.0,0.0,0.0,0.405,0
0.0,0.10558173038433058,0.0,1.0,0.0,0.0,0.415,0
0.0,0.17664153962277432,0.0,1.0,0.0,0.0,0.425,0
0.0,0.2879914235142874,0.0,2.0,0.0,0.7877375524028004,0.435,0
1.0,1.4647179848245484,0.0,6.0,0.0,2.0,0.445,0
3.0,3.6762903148976442,0.0,13.965688814092067,1.0,6.0,0.455,0
6.0,7.99682273765389,0.0,29.174683591136443,2.0,10.0,0.465,0
11.0,15.268600583425558,0.0,46.60492683075746,5.0,21.0,0.475,0
19.0,26.879827888766226,1.0,88.36133977130429,8.0,40.32903487413584,0.485,0
30.0,41.47811009012423,1.0,149.38441685366465,12.0,56.70912103070151,0.495,1
44.0,62.614640980515944,1.0,209.0,18.0,91.3708617234856,0.505,0
59.0,83.7714317486099,3.4908487333529346,317.2368459883078,22.703552173040546,124.0,0.515,0
70.0,99.97150464879863,0.22731818405993356,381.70194302679187,22.0,149.8335359822697,0.525,0
71.0,109.5608914361791,2.0,398.5880083674413,22.0,160.0,0.535,0
73.0,110.3714475110014,1.8904623467226083,418.85040897369373,20.0,153.2803572427102,0.545,0
70.0,100.73665387498906,0.0,388.8276147941893,15.9581060602486,135.18003102457774,0.555,0
57.0,81.92313391410647,1.0,301.0,12.945059117256156,105.0,0.565,0
40.0,59.76661432001912,0.0,249.3333692462095,7.0,84.38250446147204,0.575,0
26.0,40.05681155590568,0.0,167.8322869847806,6.411484491896868,52.0,0.585,0
15.0,23.968140547523255,0.0,102.51284261305236,2.0,33.0,0.595,0
8.0,13.033110988672323,0.0,55.2189698799884,1.0,19.0,0.605,0
4.0,6.996352024293589,0.0,34.58642444649814,0.6659211094025592,9.0,0.615,0
1.0,2.7712362314625794,0.0,14.0,0.0,4.0,0.625,0
