"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
48.0,48.66700204585941,27.0,79.20777901338597,40.0,56.0,0.005,0
61.0,61.68954362612252,33.18579627861581,92.94977718097928,50.0,72.0,0.015,0
34.0,34.886134370501615,18.0,56.0,28.0,41.0,0.025,1
20.0,20.142321807455225,10.0,35.0,15.0,24.0,0.035,3
14.0,13.947495839255687,6.0,24.0,11.0,16.417635142104757,0.045,12
12.0,11.875300933562364,6.0,18.0,9.0,14.0,0.055,7
10.0,10.35835081991384,6.0,16.0,8.0,12.0,0.065,20
8.0,7.927324644716623,4.0,13.0,6.0,9.00872524021167,0.075,7
6.0,6.048211264153977,2.920097536280216,10.308076469904524,5.0,7.0,0.085,5
4.0,4.138760351416608,1.0,9.0,3.0,5.0,0.095,5
3.0,2.9409145565937376,0.0,6.0,2.0,4.0,0.105,4
2.0,2.074245014728459,0.0,5.0,1.0,3.0,0.115,4
1.0,1.3759977327174437,0.0,4.0,1.0,2.0,0.125,0
1.0,0.8641098945655241,0.0,3.0,0.0,1.0,0.135,1
0.0,0.6131552298917102,0.0,2.0,0.0,1.0,0.145,1
0.0,0.49048892536305577,0.0,2.0,0.0,1.0,0.155,0
0.0,0.3902104478939285,0.0,2.0,0.0,1.0,0.165,0
0.0,0.2827651156304078,0.0,1.0,0.0,1.0,0.175,0
0.0,0.2025262391159577,0.0,1.0,0.0,0.0,0.185,0
0.0,0.20000337551149552,0.0,1.0,0.0,0.0,0.195,0
0.0,0.21451364699988035,0.0,1.0,0.0,0.0,0.205,0
0.0,0.17116481555120835,0.0,1.0,0.0,0.0,0.215,0
0.0,0.17290130951462793,0.0,1.0,0.0,0.0,0.225,0
0.0,0.12118144881704394,0.0,1.0,0.0,0.0,0.235,0
0.0,0.12386925052089325,0.0,1.0,0.0,0.0,0.245,0
0.0,0.09495022253610504,0.0,1.0,0.0,0.0,0.255,0
0.0,0.059320843983643026,0.0,1.0,0.0,0.0,0.265,0
0.0,0.06271774967389858,0.0,1.0,0.0,0.0,0.275,0
0.0,0.0486447212273044,0.0,1.0,0.0,0.0,0.285,0
0.0,0.05307628373228225,0.0,1.0,0.0,0.0,0.295,0
0.0,0.053664934413153835,0.0,1.0,0.0,0.0,0.305,0
0.0,0.057059048683006576,0.0,1.0,0.0,0.0,0.315,0
0.0,0.02907883140351212,0.0,1.0,0.0,0.0,0.325,0
0.0,0.03501282966042299,0.0,1.0,0.0,0.0,0.335,0
0.0,0.04985733029399719,0.0,1.0,0.0,0.0,0.345,0
0.0,0.029452836063719047,0.0,1.0,0.0,0.0,0.355,0
0.0,0.04110534799159673,0.0,1.0,0.0,0.0,0.365,0
0.0,0.03371519407121356,0.0,1.0,0.0,0.0,0.375,0
0.0,0.020451277597086207,0.0,0.0,0.0,0.0,0.385,0
0.0,0.04186599881499289,0.0,1.0,0.0,0.0,0.395,0
0.0,0.03907008498864902,0.0,1.0,0.0,0.0,0.405,0
0.0,0.02073954327079153,0.0,0.0,0.0,0.0,0.415,0
0.0,0.040216821989408735,0.0,1.0,0.0,0.0,0.425,0
0.0,0.08304937734199283,0.0,1.0,0.0,0.0,0.435,0
1.0,1.1131258206544197,0.0,5.0,0.0,2.0,0.445,0
2.0,3.0404971987339535,0.0,12.759103451403655,1.0,4.0,0.455,0
4.0,6.310200656556843,0.0,25.0,1.0,9.0,0.465,0
8.0,11.65776711390432,0.0,39.0,3.0,17.0,0.475,0
16.0,21.41350333205206,0.0,70.0,6.0,31.0,0.485,0
23.0,33.162745643514725,1.0,110.49052240918695,8.0,49.0,0.495,0
33.0,48.92312352232052,2.0,164.58010121710873,11.0,72.1404406521733,0.505,0
44.0,67.84302319153704,1.0,239.8539508439,14.0,101.0,0.515,0
53.0,81.61891144509008,2.0,283.90860630952096,15.095832323039893,124.58371304596781,0.525,0
54.0,88.5874130540377,1.0,320.1127666562829,15.0,128.5940975657268,0.535,0
53.0,90.09108690192944,0.0,354.79589760495503,16.0,129.60000207953098,0.545,0
49.0,83.38467896961217,0.39305183285246403,323.429991551462,11.68385724318165,115.98720375577929,0.555,0
38.0,68.46772196797309,0.0,271.2280320264194,8.0,99.0,0.565,0
26.0,50.21616201939924,0.0,219.5795898821936,6.0,71.0,0.575,0
18.0,33.201808398242655,0.0,135.67078423471787,3.0,48.0,0.585,0
10.0,20.68046817019045,0.0,86.4648360662602,2.0,28.274698846649358,0.595,0
5.0,11.39452376672805,0.0,53.0,1.0,17.0,0.605,0
3.0,5.911833838651389,0.0,30.90197452297483,0.0,8.0,0.615,0
1.0,2.5403768503144932,0.0,13.09961976881376,0.0,3.0,0.625,0
0.0,1.0826706533352068,0.0,6.175398079925267,0.0,2.0,0.635,0
0.0,0.33423629014184264,0.0,2.0,0.0,0.0,0.645,0
0.0,0.13083546795860565,0.0,1.0,0.0,0.0,0.655,0
0.0,0.06041764108223747,0.0,1.0,0.0,0.0,0.665,0
0.0,0.02625086163581848,0.0,0.5810181696066831,0.0,0.0,0.675,0
0.0,0.0,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.002242943770790355,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
0.0,0.0,0.0,0.0,0.0,0.0,0.805,0
0.0,0.0,0.0,0.0,0.0,0.0,0.815,0
0.0,0.0,0.0,0.0,0.0,0.0,0.825,0
0.0,0.0,0.0,0.0,0.0,0.0,0.835,0
0.0,0.0,0.0,0.0,0.0,0.0,0.845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.855,0
0.0,0.0,0.0,0.0,0.0,0.0,0.865,0
0.0,0.0,0.0,0.0,0.0,0.0,0.875,0
0.0,0.0,0.0,0.0,0.0,0.0,0.885,0
0.0,0.0,0.0,0.0,0.0,0.0,0.895,0
0.0,0.0,0.0,0.0,0.0,0.0,0.905,0
0.0,0.0,0.0,0.0,0.0,0.0,0.915,0
0.0,0.0,0.0,0.0,0.0,0.0,0.925,0
0.0,0.0,0.0,0.0,0.0,0.0,0.935,0
0.0,0.0,0.0,0.0,0.0,0.0,0.945,0
0.0,0.0,0.0,0.0,0.0,0.0,0.955,0
0.0,0.0,0.0,0.0,0.0,0.0,0.965,0
0.0,0.0,0.0,0.0,0.0,0.0,0.975,0
0.0,0.0,0.0,0.0,0.0,0.0,0.985,0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0
