"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
174.0,174.1281965996329,108.97992141388087,244.66008610577796,148.0,196.0,0.005,0
219.0,224.68346914015,152.49159178411048,323.6127526026932,194.0,250.0,0.015,0
126.0,127.76356677705823,84.50679913299325,180.0,111.0,145.0,0.025,0
71.0,73.43174432326018,46.0,112.0,63.0,83.5605050677257,0.035,0
44.0,45.14812944329016,28.0,70.46201399191494,37.0,51.0,0.045,2
30.0,29.578358969919567,18.0,43.0,25.0,34.0,0.055,11
23.0,23.300109872854758,14.0,33.98867831769674,20.0,26.0,0.065,32
17.0,17.47380458909029,10.0,26.0,15.0,20.0,0.075,32
12.0,12.223283945489829,6.0,19.0,10.0,14.0,0.085,13
8.0,8.091384352414792,3.0,15.0,6.0,10.0,0.095,6
5.0,5.439653073214157,1.0,11.0,4.0,7.0,0.105,3
4.0,3.938786763211573,1.0,8.0,2.0,5.0,0.115,0
3.0,2.8274169908339153,0.0,7.0,1.0,4.0,0.125,0
2.0,2.440774635254059,0.0,6.0,1.0,3.0,0.135,1
2.0,2.349339300997796,0.0,6.0,1.0,3.0,0.145,0
2.0,2.5973115733349417,0.0,6.0,1.0,4.0,0.155,2
3.0,2.830225807556522,0.0,7.0,1.0,4.0,0.165,2
3.0,3.07146203469693,0.0,8.0,2.0,4.0,0.175,1
3.0,3.692304923456947,0.0,8.0,2.0,5.0,0.185,2
4.0,4.4565553904239215,1.0,9.0,3.0,6.0,0.195,6
5.0,5.294444633332255,1.0,10.0,4.0,7.0,0.205,10
6.0,6.113622574440501,2.0,11.0,4.0,8.0,0.215,3
6.0,6.356417006894123,2.0,11.0,5.0,8.0,0.225,7
7.0,6.776041346991542,2.0,12.0,5.0,8.0,0.235,11
6.0,6.52728230083011,2.0,11.0,5.0,8.0,0.245,10
6.0,5.794000392285859,2.0,10.0,4.0,7.0,0.255,10
4.0,4.656991676354998,1.0,10.0,3.0,6.0,0.265,4
4.0,3.824514780328343,1.0,9.0,2.0,5.0,0.275,5
3.0,2.7593948859740305,0.0,6.0,2.0,4.0,0.285,0
2.0,2.043592341521256,0.0,5.0,1.0,3.0,0.295,0
1.0,1.3011687968007266,0.0,4.0,1.0,2.0,0.305,0
1.0,0.8650169144997151,0.0,3.0,0.0,1.0,0.315,2
0.0,0.6030008468740414,0.0,3.0,0.0,1.0,0.325,0
0.0,0.2886950491354585,0.0,2.0,0.0,0.0,0.335,0
0.0,0.20371020326088995,0.0,1.0,0.0,0.0,0.345,0
0.0,0.13535107008136538,0.0,1.0,0.0,0.0,0.355,0
0.0,0.07697556179896656,0.0,1.0,0.0,0.0,0.365,0
0.0,0.0432278538108053,0.0,1.0,0.0,0.0,0.375,0
0.0,0.018384432784204357,0.0,0.0,0.0,0.0,0.385,0
0.0,0.009689275155946,0.0,0.0,0.0,0.0,0.395,0
0.0,0.040626388015992325,0.0,1.0,0.0,0.0,0.405,0
0.0,0.13770887065781384,0.0,1.0,0.0,0.0,0.415,0
0.0,0.4517557584544167,0.0,2.0,0.0,1.0,0.425,0
1.0,1.1361687078258906,0.0,4.0,0.0,2.0,0.435,2
3.0,3.2118158715731657,0.0,10.0,1.0,5.0,0.445,0
6.0,7.596279005715307,0.0,22.0,3.0,11.0,0.455,2
14.0,16.420948892924358,0.0,47.0,6.0,24.0,0.465,2
26.0,30.80976334499141,1.0,84.12406211052276,11.712903015743386,46.5402751921783,0.475,0
45.0,53.161725405072524,2.0,133.0,19.72083752594094,84.0,0.485,0
69.0,83.10942643663525,2.2817192930867165,210.0,29.0,130.94199339932715,0.495,1
104.0,120.46349003948488,2.540973273235783,310.54110813377105,40.56252281546381,189.0,0.505,1
125.0,158.93159359943832,3.0,410.92250794951957,48.1745545058619,260.0,0.515,0
142.0,186.76602813369092,2.8688968017434213,494.6665196064721,53.07730602596116,310.0,0.525,0
147.0,200.54646354652894,2.8171872324633216,573.8303603487832,51.458302547851396,325.7410679485343,0.535,1
141.0,196.08895439827893,2.424032665708829,568.4300945479041,46.0,317.14055855044023,0.545,0
121.0,176.58214273596198,2.0,538.9168345569149,38.0,292.4167427853376,0.555,0
93.0,142.93840106787158,1.0,447.24462270840564,27.527324284142303,236.16773572222772,0.565,0
67.0,102.77803550964103,1.0,336.87415094056297,17.0,168.66239132225954,0.575,0
41.0,67.72260201460294,0.0,226.27516558352735,11.0,110.30925405937424,0.585,0
23.0,40.48260816730369,0.0,135.0,6.0,66.8908775845336,0.595,0
12.0,21.914161109225873,0.0,80.19029941250012,3.0,34.9172529280072,0.605,0
6.0,10.874264213670038,0.0,40.55325222257416,1.0,18.0,0.615,0
2.0,4.635282159502329,0.0,20.153299197704232,0.0,7.0,0.625,0
1.0,1.8094753683527975,0.0,8.0,0.0,3.0,0.635,0
0.0,0.6175931425026449,0.0,4.0,0.0,1.0,0.645,0
0.0,0.22301341074530867,0.0,2.0,0.0,0.0,0.655,0
0.0,0.10426194362009256,0.0,1.0,0.0,0.0,0.665,0
0.0,0.021667064251878598,0.0,0.0,0.0,0.0,0.675,0
0.0,0.004664585288376786,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
0.0,0.0,0.0,0.0,0.0,0.0,0.805,0
0.0,0.0,0.0,0.0,0.0,0.0,0.815,0
0.0,0.0,0.0,0.0,0.0,0.0,0.825,0
0.0,0.0,0.0,0.0,0.0,0.0,0.835,0
0.0,0.0,0.0,0.0,0.0,0.0,0.845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.855,0
0.0,0.0,0.0,0.0,0.0,0.0,0.865,0
0.0,0.0,0.0,0.0,0.0,0.0,0.875,0
0.0,0.0,0.0,0.0,0.0,0.0,0.885,0
0.0,0.0,0.0,0.0,0.0,0.0,0.895,0
0.0,0.0,0.0,0.0,0.0,0.0,0.905,0
0.0,0.0,0.0,0.0,0.0,0.0,0.915,0
0.0,0.0,0.0,0.0,0.0,0.0,0.925,0
0.0,0.0,0.0,0.0,0.0,0.0,0.935,0
0.0,0.0,0.0,0.0,0.0,0.0,0.945,0
0.0,0.0,0.0,0.0,0.0,0.0,0.955,0
0.0,0.0,0.0,0.0,0.0,0.0,0.965,0
0.0,0.0,0.0,0.0,0.0,0.0,0.975,0
0.0,0.0,0.0,0.0,0.0,0.0,0.985,0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0
