"mu","clonalmutations","s","t","cellularity","frequency","scmuts","weight"
8.003608617818939,1002.0069389499567,0.19375726335288188,5.656454376130007,1.0562034842532342,0.4196,63.0,0.001455247765781059
6.875658109175796,2020.8425481783322,0.19203948530927478,5.56696102869822,1.0657492524671337,0.4291,59.0,0.001412490307520042
7.465395991733538,831.5654300459555,0.2598269018509806,7.090543724818758,1.0946405842415383,0.4139,54.0,0.0026353643109554657
6.6947572849448225,2283.8146398491035,0.17231651362791608,4.877904255044614,1.06988317825233,0.4734,55.0,0.0015098751305277708
9.318644538369872,3770.5524869673036,0.09669652475047194,3.4247521596418586,1.0959407796838432,0.3952,68.0,0.002419243974579311
6.927888138936521,574.1895679558202,0.3941505757740443,9.371237430115922,1.082685202463982,0.4468,61.0,0.0030865582618759485
9.34540104873226,2742.862601806875,0.11289925456914769,4.030062122872769,1.087789122155126,0.3635,52.0,0.002813513684936735
7.458473503948081,1015.9451958539933,0.23601761009198063,6.3241762793941305,1.0652885585144791,0.467,69.0,0.0012308705132907597
10.261504176036484,768.1023395588622,0.27507992124639064,3.2444490826036363,1.0793118876169674,0.9373,97.0,0.0017395394120774865
7.338566522299739,4150.298891483468,0.14437712077410317,4.475206811312396,1.0732063421840718,0.4243,78.0,0.003296433090995107
7.295118125775426,1286.366075180039,0.09178820847035918,5.495628567654305,1.0639451513472717,0.1134,142.0,0.0016833588616948672
5.6744752461018955,2057.1251482538264,0.5279402140500941,11.498034458550455,1.0868779489073495,0.4228,53.0,0.001342770400591838
9.89829007744933,608.3146380218473,0.2510352778132254,9.369890042922794,1.0851927910968882,0.0857,118.0,0.0018860924172442392
8.80668333227101,389.72649041141403,0.17482236818838942,4.982800041341514,1.082516444410955,0.4647,43.0,0.001905983826684132
9.210837792685577,2383.445796811272,0.11190386958041328,3.6312135178973053,1.0953357120322937,0.4293,99.0,0.0014414561214828247
5.1768357910132945,1518.8976152643959,0.32280299436600973,8.085103098257218,1.0656105609393356,0.4559,56.0,0.0015540734043410958
6.388276604755609,500.0020890015817,0.24993229432541564,6.732718948920374,1.0785051468187439,0.444,64.0,0.0014432453784693144
6.0609611625910915,1297.8498136787855,0.25438622798253396,6.903252713177436,1.0882550852023731,0.4287,61.0,0.0014180800539431047
9.79626441901583,1304.7933467922844,0.3529219390503934,4.910780557817343,1.0695939283439673,0.9298,121.0,0.0025250227022430008
6.856007088485868,4.635096345261445,0.2504929974378574,6.742657523694632,1.0634633803309557,0.4443,74.0,0.001692096340206053
8.808110527758853,1319.0314512607004,0.14588577782094725,4.572378588051149,1.0768045891695908,0.4133,58.0,0.001444858611962118
8.23568933670095,1064.2721781299138,0.4218723718705923,9.765401276491234,1.0623817707575467,0.4579,60.0,0.0013514076872389584
6.8659672131537555,702.5203560557557,0.2225956369038288,6.3114230078383935,1.063938818734798,0.4152,67.0,0.0015160819585829126
10.43501989743168,4150.9352213045195,0.5281922742495367,7.255178974909642,1.0866954265861768,0.9484,98.0,0.0033838174842931636
9.624286567411556,347.7270411727086,0.03861451471811126,3.739249724851361,1.0239960654848284,0.1408,71.0,0.0054032687294985
5.317318512452012,1612.3082119975988,0.1785673738786478,5.271954593231026,1.0912591804443559,0.4269,71.0,0.0024337114214692188
9.316002953630665,3586.7244942636066,0.05638475909706133,4.587424542123227,1.0875704329858638,0.1123,85.0,0.0025790936653672693
6.728364984407137,1216.1648077078617,0.14371894942137253,4.634960112130108,1.0813628648316747,0.3925,68.0,0.0012992871844901854
9.241160505028205,3089.8778141500898,0.10945530996956727,3.7726822949444934,1.080671673271487,0.3928,69.0,0.0017390530072305373
5.507170853682744,2530.34790416349,0.37500303631841764,9.121986118184763,1.0953481897869077,0.4325,79.0,0.002326327179337262
4.46621908614624,4.469682577152298,0.30935259702935275,8.211920097647624,1.0998531075433418,0.3825,78.0,0.002804422452271753
